Processes,Size,Latency
34,32,4.42
34,64,5.13
34,128,4.96
34,256,6.25
34,512,6.46
34,1024,6.83
34,2048,7.95
34,4096,10.04
34,8192,13.62
34,16384,20.32
34,32768,31.31
34,65536,51.87
34,131072,93.74
34,262144,179.06
34,524288,442.95
34,1048576,858.86
36,2,4.37
36,4,4.41
36,8,4.31
36,16,4.31
36,32,4.36
36,64,4.87
36,128,4.78
36,256,5.93
36,512,6.27
36,1024,6.68
36,2048,7.75
36,4096,9.88
36,8192,13.64
36,16384,20.69
36,32768,32.64
36,65536,54.75
36,131072,99.78
36,262144,191.62
36,524288,480.86
36,1048576,931.74
38,2,4.06
38,4,4.08
38,8,4.07
38,16,4.07
38,32,4.11
38,64,4.55
38,128,4.53
38,256,5.47
38,512,5.74
38,1024,6.14
38,2048,7.37
38,4096,9.60
38,8192,13.66
38,16384,21.03
38,32768,34.31
38,65536,57.45
38,131072,106.28
38,262144,203.63
38,524288,538.74
38,1048576,1026.11
40,2,4.05
40,4,4.03
40,8,4.02
40,16,4.03
40,32,3.96
40,64,4.37
40,128,4.40
40,256,5.34
40,512,5.71
40,1024,6.15
40,2048,7.40
40,4096,9.60
40,8192,13.99
40,16384,21.77
40,32768,35.83
40,65536,61.06
40,131072,112.75
40,262144,217.28
40,524288,569.42
40,1048576,1105.50
42,2,3.67
42,4,3.65
42,8,3.62
42,16,3.62
42,32,3.65
42,64,4.26
42,128,4.19
42,256,5.33
42,512,5.64
42,1024,6.05
42,2048,7.32
42,4096,9.75
42,8192,13.80
42,16384,22.17
42,32768,36.08
42,65536,62.12
42,131072,115.43
42,262144,222.00
42,524288,564.65
42,1048576,1098.39
44,2,3.60
44,4,3.65
44,8,3.65
44,16,3.61
44,32,3.59
44,64,4.25
44,128,4.21
44,256,5.28
44,512,5.63
44,1024,6.05
44,2048,7.32
44,4096,9.80
44,8192,14.17
44,16384,22.31
44,32768,37.07
44,65536,63.46
44,131072,119.75
44,262144,229.69
44,524288,574.80
44,1048576,1122.85
46,2,3.65
46,4,3.69
46,8,3.63
46,16,3.74
46,32,3.67
46,64,4.39
46,128,4.24
46,256,5.46
46,512,5.98
46,1024,6.25
46,2048,7.68
46,4096,10.08
46,8192,14.31
46,16384,22.82
46,32768,38.44
46,65536,66.57
46,131072,125.15
46,262144,240.18
46,524288,590.14
46,1048576,1139.33
48,2,3.97
48,4,3.94
48,8,3.94
48,16,3.94
48,32,4.05
48,64,4.62
48,128,4.65
48,256,5.79
48,512,6.15
48,1024,6.58
48,2048,7.96
48,4096,10.63
48,8192,15.32
48,16384,24.20
48,32768,40.55
48,65536,70.05
48,131072,130.29
48,262144,249.26
48,524288,640.26
48,1048576,1215.74
