Processes,Size,Latency
2,2,0.40
2,4,0.37
2,8,0.37
2,16,0.36
2,32,0.63
2,64,0.57
2,128,0.76
2,256,0.80
2,512,0.89
2,1024,1.03
2,2048,1.43
2,4096,2.03
2,8192,3.41
2,16384,3.71
2,32768,5.97
2,65536,7.49
2,131072,10.45
2,262144,15.73
2,524288,29.27
2,1048576,61.44
4,2,0.35
4,4,0.37
4,8,0.35
4,16,0.37
4,32,0.64
4,64,0.58
4,128,1.06
4,256,1.15
4,512,1.29
4,1024,1.64
4,2048,2.58
4,4096,3.73
4,8192,5.88
4,16384,8.71
4,32768,14.22
4,65536,20.97
4,131072,39.15
4,262144,76.33
4,524288,148.11
4,1048576,338.57
6,2,0.68
6,4,0.68
6,8,0.68
6,16,0.68
6,32,0.87
6,64,0.88
6,128,1.75
6,256,1.80
6,512,2.10
6,1024,2.67
6,2048,3.57
6,4096,5.49
6,8192,8.31
6,16384,12.60
6,32768,20.76
6,65536,37.26
6,131072,74.77
6,262144,155.25
6,524288,266.10
6,1048576,530.70
8,2,1.03
8,4,1.03
8,8,0.96
8,16,0.99
8,32,1.42
8,64,1.43
8,128,2.64
8,256,2.78
8,512,3.04
8,1024,3.68
8,2048,4.97
8,4096,7.11
8,8192,10.98
8,16384,13.47
8,32768,22.68
8,65536,41.56
8,131072,82.68
8,262144,156.00
8,524288,315.41
8,1048576,554.48
10,2,1.32
10,4,1.39
10,8,1.34
10,16,1.35
10,32,1.71
10,64,1.73
10,128,2.41
10,256,2.49
10,512,2.68
10,1024,3.33
10,2048,4.39
10,4096,6.25
10,8192,9.62
10,16384,18.94
10,32768,30.16
10,65536,60.11
10,131072,116.83
10,262144,248.12
10,524288,459.95
10,1048576,887.92
12,2,1.59
12,4,1.58
12,8,1.58
12,16,1.57
12,32,2.31
12,64,1.93
12,128,3.02
12,256,3.08
12,512,3.45
12,1024,4.38
12,2048,5.67
12,4096,7.95
12,8192,12.26
12,16384,23.55
12,32768,38.47
12,65536,75.87
12,131072,138.53
12,262144,280.68
12,524288,555.71
12,1048576,1006.54
14,2,1.33
14,4,1.30
14,8,1.34
14,16,1.37
14,32,2.34
14,64,1.80
14,128,3.13
14,256,3.21
14,512,3.70
14,1024,4.76
14,2048,6.14
14,4096,8.79
14,8192,13.91
14,16384,25.94
14,32768,40.83
14,65536,76.60
14,131072,146.40
14,262144,299.62
14,524288,575.26
14,1048576,1000.69
16,2,1.53
16,4,1.52
16,8,1.54
16,16,1.57
16,32,2.60
16,64,2.22
16,128,3.93
16,256,4.06
16,512,4.49
16,1024,5.51
16,2048,7.13
16,4096,10.11
16,8192,16.06
16,16384,25.58
16,32768,42.65
16,65536,76.06
16,131072,133.84
16,262144,290.90
16,524288,578.03
16,1048576,1065.36
18,2,2.16
18,4,2.21
18,8,2.16
18,16,2.31
18,32,2.81
18,64,2.67
18,128,3.94
18,256,3.97
18,512,4.40
18,1024,5.35
18,2048,6.96
18,4096,9.90
18,8192,15.15
18,16384,29.20
18,32768,47.80
18,65536,92.63
18,131072,186.89
18,262144,331.56
18,524288,697.82
18,1048576,1250.62
20,2,2.18
20,4,2.16
20,8,2.17
20,16,2.21
20,32,2.90
20,64,2.70
20,128,4.29
20,256,4.47
20,512,4.98
20,1024,6.15
20,2048,7.78
20,4096,11.04
20,8192,17.21
20,16384,32.68
20,32768,55.12
20,65536,97.79
20,131072,189.31
20,262144,374.66
20,524288,682.16
20,1048576,1232.55
22,2,2.27
22,4,2.18
22,8,2.21
22,16,2.23
22,32,3.09
22,64,2.88
22,128,4.79
22,256,4.97
22,512,5.56
22,1024,6.91
22,2048,8.76
22,4096,12.46
22,8192,19.14
22,16384,35.28
22,32768,57.44
22,65536,116.12
22,131072,191.41
22,262144,416.91
22,524288,764.29
22,1048576,1370.15
24,2,2.33
24,4,2.33
24,8,2.44
24,16,2.37
24,32,3.41
24,64,3.09
24,128,5.15
24,256,5.38
24,512,6.04
24,1024,7.66
24,2048,9.60
24,4096,13.53
24,8192,20.99
24,16384,34.72
24,32768,58.60
24,65536,105.82
24,131072,204.00
24,262144,395.86
24,524288,791.45
24,1048576,1488.54
26,2,2.47
26,4,2.76
26,8,2.46
26,16,2.44
26,32,3.51
26,64,3.14
26,128,4.80
26,256,4.89
26,512,5.49
26,1024,6.73
26,2048,8.78
26,4096,12.33
26,8192,19.29
26,16384,38.25
26,32768,63.48
26,65536,115.33
26,131072,223.37
26,262144,420.50
26,524288,802.29
26,1048576,1546.44
28,2,2.52
28,4,2.57
28,8,2.53
28,16,2.48
28,32,3.58
28,64,3.23
28,128,4.98
28,256,5.19
28,512,5.80
28,1024,7.21
28,2048,9.40
28,4096,13.40
28,8192,21.20
28,16384,42.76
28,32768,67.35
28,65536,119.89
28,131072,230.76
28,262144,461.68
28,524288,882.23
28,1048576,1714.68
30,2,2.35
30,4,2.53
30,8,2.42
30,16,2.33
30,32,3.48
30,64,3.14
30,128,5.16
30,256,5.36
30,512,5.99
30,1024,7.63
30,2048,10.05
30,4096,14.46
30,8192,22.97
30,16384,44.32
30,32768,72.04
30,65536,124.76
30,131072,242.55
30,262144,470.36
30,524288,952.35
30,1048576,1715.65
32,2,3.05
32,4,3.03
32,8,2.97
32,16,2.95
32,32,4.20
32,64,4.02
32,128,6.43
32,256,6.81
32,512,7.41
32,1024,8.92
32,2048,11.70
32,4096,16.48
32,8192,26.60
32,16384,43.69
32,32768,68.97
32,65536,123.93
32,131072,225.95
32,262144,435.76
32,524288,837.34
32,1048576,1604.67
34,2,5.30
34,4,4.82
34,8,4.77
34,16,4.83
34,32,5.96
34,64,5.76
34,128,8.12
34,256,8.37
34,512,9.08
34,1024,10.44
34,2048,13.20
34,4096,17.64
34,8192,26.90
34,16384,48.15
34,32768,76.47
34,65536,134.50
34,131072,248.81
34,262144,486.62
34,524288,960.26
34,1048576,1776.89
36,2,5.73
36,4,5.06
36,8,5.08
36,16,5.04
36,32,6.11
36,64,5.97
36,128,8.67
36,256,9.26
36,512,9.65
36,1024,11.28
36,2048,14.36
36,4096,19.60
36,8192,29.55
36,16384,50.38
36,32768,81.80
36,65536,142.04
36,131072,265.60
36,262144,529.36
36,524288,983.68
36,1048576,1873.36
38,2,5.45
38,4,4.69
38,8,4.63
38,16,4.67
38,32,5.95
38,64,5.66
38,128,8.45
38,256,8.82
38,512,9.64
38,1024,11.32
38,2048,14.37
38,4096,20.17
38,8192,30.52
38,16384,53.37
38,32768,83.62
38,65536,152.24
38,131072,275.66
38,262144,537.04
38,524288,1048.05
38,1048576,1956.11
40,2,5.80
40,4,4.97
40,8,4.84
40,16,4.87
40,32,6.31
40,64,6.06
40,128,9.19
40,256,9.48
40,512,10.32
40,1024,12.24
40,2048,15.42
40,4096,21.46
40,8192,32.44
40,16384,52.90
40,32768,89.15
40,65536,144.67
40,131072,267.64
40,262144,526.75
40,524288,1022.45
40,1048576,1890.48
42,2,5.34
42,4,4.83
42,8,4.82
42,16,4.83
42,32,6.13
42,64,5.96
42,128,8.51
42,256,9.09
42,512,9.58
42,1024,11.29
42,2048,14.48
42,4096,20.64
42,8192,30.84
42,16384,56.82
42,32768,91.35
42,65536,156.64
42,131072,290.86
42,262144,557.74
42,524288,1109.28
42,1048576,2055.23
44,2,4.71
44,4,4.64
44,8,4.54
44,16,4.64
44,32,6.22
44,64,5.67
44,128,8.73
44,256,9.21
44,512,9.93
44,1024,11.85
44,2048,15.38
44,4096,21.19
44,8192,32.68
44,16384,58.63
44,32768,95.75
44,65536,159.49
44,131072,306.16
44,262144,560.49
44,524288,1097.63
44,1048576,2037.65
46,2,5.04
46,4,4.72
46,8,4.70
46,16,4.65
46,32,6.33
46,64,5.94
46,128,9.19
46,256,9.77
46,512,10.76
46,1024,12.49
46,2048,16.37
46,4096,23.47
46,8192,35.04
46,16384,61.78
46,32768,95.57
46,65536,166.62
46,131072,290.77
46,262144,573.18
46,524288,1106.32
46,1048576,2121.29
48,2,4.85
48,4,4.66
48,8,4.69
48,16,4.69
48,32,6.46
48,64,6.07
48,128,9.55
48,256,9.99
48,512,10.89
48,1024,13.02
48,2048,17.14
48,4096,23.69
48,8192,36.26
48,16384,63.25
48,32768,100.76
48,65536,168.16
48,131072,314.38
48,262144,593.39
48,524288,1139.02
48,1048576,2276.49
