Processes,Size,Latency
1,2,
1,4,
1,8,
1,16,
1,32,
1,64,
1,128,
1,256,
1,512,
1,1024,
1,2048,
1,4096,
1,8192,
1,16384,
1,32768,
1,65536,
1,131072,
1,262144,
1,524288,
1,1048576,
2,2,0.14
2,4,0.15
2,8,0.15
2,16,0.15
2,32,0.16
2,64,0.15
2,128,0.21
2,256,0.24
2,512,0.23
2,1024,0.27
2,2048,0.32
2,4096,0.40
2,8192,0.58
2,16384,3.68
2,32768,4.35
2,65536,5.74
2,131072,10.12
2,262144,21.02
2,524288,42.94
2,1048576,83.92
4,2,0.24
4,4,0.24
4,8,0.24
4,16,0.25
4,32,0.25
4,64,0.25
4,128,0.39
4,256,0.40
4,512,0.45
4,1024,0.50
4,2048,0.62
4,4096,0.83
4,8192,1.23
4,16384,9.08
4,32768,11.04
4,65536,15.60
4,131072,26.88
4,262144,52.68
4,524288,112.36
4,1048576,228.18
8,2,1.59
8,4,1.60
8,8,1.44
8,16,1.37
8,32,1.75
8,64,2.09
8,128,1.80
8,256,1.76
8,512,1.90
8,1024,2.22
8,2048,2.50
8,4096,3.13
8,8192,4.49
8,16384,16.46
8,32768,23.93
8,65536,39.62
8,131072,73.36
8,262144,148.83
8,524288,290.82
8,1048576,585.46
16,2,3.69
16,4,3.80
16,8,3.13
16,16,3.10
16,32,3.72
16,64,3.50
16,128,3.50
16,256,3.57
16,512,4.10
16,1024,4.39
16,2048,5.23
16,4096,6.51
16,8192,9.18
16,16384,33.28
16,32768,50.04
16,65536,83.37
16,131072,153.12
16,262144,305.71
16,524288,620.06
16,1048576,1236.21
32,2,7.07
32,4,5.91
32,8,5.78
32,16,5.79
32,32,6.34
32,64,6.25
32,128,7.28
32,256,7.43
32,512,8.45
32,1024,8.78
32,2048,10.98
32,4096,13.99
32,8192,19.76
32,16384,67.62
32,32768,101.83
32,65536,169.26
32,131072,316.07
32,262144,636.98
32,524288,1283.45
32,1048576,2505.92
64,2,11.64
64,4,11.59
64,8,11.74
64,16,11.60
64,32,13.23
64,64,12.92
64,128,14.72
64,256,14.68
64,512,15.84
64,1024,16.76
64,2048,21.50
64,4096,27.70
64,8192,39.85
64,16384,141.49
64,32768,212.40
64,65536,355.36
64,131072,657.47
64,262144,1331.66
64,524288,2635.23
64,1048576,5234.39
128,2,27.93
128,4,25.73
128,8,26.57
128,16,24.91
128,32,26.58
128,64,25.95
128,128,30.31
128,256,31.10
128,512,33.91
128,1024,35.18
128,2048,46.93
128,4096,60.32
128,8192,87.83
128,16384,299.80
128,32768,440.85
128,65536,734.28
128,131072,1334.17
128,262144,2617.22
128,524288,5150.37
128,1048576,10240.84
256,2,31.45
256,4,30.76
256,8,29.71
256,16,29.31
256,32,32.64
256,64,31.77
256,128,43.64
256,256,43.70
256,512,50.41
256,1024,59.00
256,2048,78.15
256,4096,106.48
256,8192,159.17
256,16384,564.93
256,32768,846.31
256,65536,1432.58
256,131072,2635.10
256,262144,5193.70
256,524288,10274.27
