Processes,Size,Latency
1,2,
1,4,
1,8,
1,16,
1,32,
1,64,
1,128,
1,256,
1,512,
1,1024,
1,2048,
1,4096,
1,8192,
1,16384,
1,32768,
1,65536,
1,131072,
1,262144,
1,524288,
1,1048576,
2,2,0.13
2,4,0.12
2,8,0.14
2,16,0.13
2,32,0.13
2,64,0.13
2,128,0.19
2,256,0.20
2,512,0.22
2,1024,0.24
2,2048,0.32
2,4096,0.39
2,8192,0.55
2,16384,3.69
2,32768,4.24
2,65536,5.73
2,131072,11.29
2,262144,21.79
2,524288,44.97
2,1048576,108.77
4,2,0.13
4,4,0.13
4,8,0.13
4,16,0.13
4,32,0.13
4,64,0.13
4,128,0.27
4,256,0.28
4,512,0.30
4,1024,0.33
4,2048,0.47
4,4096,0.68
4,8192,1.09
4,16384,4.05
4,32768,4.98
4,65536,7.81
4,131072,16.32
4,262144,35.52
4,524288,74.46
4,1048576,152.52
8,2,0.95
8,4,1.01
8,8,0.94
8,16,0.96
8,32,1.00
8,64,1.03
8,128,1.62
8,256,1.70
8,512,1.84
8,1024,1.86
8,2048,2.53
8,4096,3.36
8,8192,4.88
8,16384,6.37
8,32768,12.29
8,65536,23.48
8,131072,48.08
8,262144,106.70
8,524288,235.51
8,1048576,362.04
16,2,1.62
16,4,1.59
16,8,1.65
16,16,1.89
16,32,1.86
16,64,1.83
16,128,3.00
16,256,3.20
16,512,3.60
16,1024,4.09
16,2048,5.68
16,4096,7.83
16,8192,11.01
16,16384,11.56
16,32768,22.14
16,65536,48.13
16,131072,103.45
16,262144,218.90
16,524288,450.70
16,1048576,825.03
32,2,3.18
32,4,3.18
32,8,3.31
32,16,3.20
32,32,3.49
32,64,3.60
32,128,6.94
32,256,7.04
32,512,7.76
32,1024,8.46
32,2048,12.64
32,4096,17.16
32,8192,23.88
32,16384,23.30
32,32768,46.45
32,65536,53.63
32,131072,211.19
32,262144,449.30
32,524288,923.28
32,1048576,1710.85
64,2,5.26
64,4,5.08
64,8,5.47
64,16,5.29
64,32,5.67
64,64,6.58
64,128,15.14
64,256,15.35
64,512,15.67
64,1024,17.89
64,2048,27.38
64,4096,36.64
64,8192,53.68
64,16384,55.88
64,32768,89.01
64,65536,206.08
64,131072,458.08
64,262144,966.90
64,524288,2038.77
64,1048576,3604.72
128,2,14.26
128,4,14.39
128,8,14.01
128,16,15.10
128,32,14.51
128,64,15.52
128,128,37.88
128,256,39.21
128,512,39.77
128,1024,42.45
128,2048,67.45
128,4096,88.70
128,8192,141.76
128,16384,125.24
128,32768,210.83
128,65536,523.13
128,131072,1278.66
128,262144,3141.91
128,524288,6696.58
128,1048576,12852.26
256,2,38.13
256,4,38.65
256,8,39.12
256,16,40.99
256,32,39.68
256,64,41.16
256,128,79.02
256,256,83.08
256,512,83.18
256,1024,92.27
256,2048,132.31
256,4096,166.73
256,8192,245.25
256,16384,137.09
256,32768,225.41
256,65536,494.71
256,131072,1064.30
256,262144,2366.30
256,524288,5667.77
256,1048576,13072.33
