Processes,Size,Latency
2,2,0.20
2,4,0.20
2,8,0.21
2,16,0.21
2,32,0.22
2,64,0.23
2,128,0.32
2,256,0.34
2,512,0.37
2,1024,0.43
2,2048,0.56
2,4096,0.84
2,8192,1.35
2,16384,3.21
2,32768,5.22
2,65536,6.94
2,131072,10.08
2,262144,15.96
2,524288,29.78
2,1048576,64.08
4,2,0.21
4,4,0.20
4,8,0.20
4,16,0.20
4,32,0.25
4,64,0.28
4,128,0.45
4,256,0.50
4,512,0.52
4,1024,0.73
4,2048,1.05
4,4096,1.64
4,8192,2.51
4,16384,5.89
4,32768,9.13
4,65536,14.99
4,131072,27.70
4,262144,52.84
4,524288,107.76
4,1048576,220.76
6,2,0.35
6,4,0.35
6,8,0.34
6,16,0.34
6,32,0.42
6,64,0.43
6,128,0.65
6,256,0.70
6,512,0.75
6,1024,1.03
6,2048,1.42
6,4096,2.20
6,8192,3.46
6,16384,7.64
6,32768,12.57
6,65536,23.48
6,131072,36.91
6,262144,84.63
6,524288,169.13
6,1048576,334.28
8,2,0.59
8,4,0.57
8,8,0.59
8,16,0.55
8,32,0.68
8,64,0.68
8,128,1.11
8,256,1.11
8,512,1.17
8,1024,1.44
8,2048,1.91
8,4096,2.91
8,8192,4.46
8,16384,10.13
8,32768,16.47
8,65536,28.42
8,131072,52.51
8,262144,101.17
8,524288,198.92
8,1048576,383.55
10,2,0.90
10,4,0.89
10,8,0.87
10,16,0.88
10,32,1.03
10,64,1.01
10,128,1.30
10,256,1.37
10,512,1.61
10,1024,1.89
10,2048,2.32
10,4096,3.56
10,8192,5.27
10,16384,12.18
10,32768,19.37
10,65536,33.60
10,131072,56.57
10,262144,118.04
10,524288,222.53
10,1048576,445.74
12,2,0.91
12,4,0.88
12,8,0.91
12,16,0.91
12,32,1.09
12,64,1.01
12,128,1.42
12,256,1.53
12,512,1.52
12,1024,1.95
12,2048,2.62
12,4096,3.91
12,8192,5.79
12,16384,13.62
12,32768,21.86
12,65536,37.83
12,131072,69.11
12,262144,129.11
12,524288,245.25
12,1048576,516.48
14,2,0.81
14,4,0.83
14,8,0.82
14,16,0.84
14,32,1.02
14,64,0.96
14,128,1.65
14,256,1.60
14,512,1.62
14,1024,2.13
14,2048,2.79
14,4096,4.31
14,8192,6.68
14,16384,15.61
14,32768,25.12
14,65536,43.22
14,131072,87.00
14,262144,167.04
14,524288,302.46
14,1048576,614.58
16,2,1.16
16,4,1.15
16,8,1.22
16,16,1.15
16,32,1.40
16,64,1.69
16,128,2.08
16,256,2.23
16,512,2.39
16,1024,2.82
16,2048,3.57
16,4096,5.34
16,8192,8.19
16,16384,19.90
16,32768,31.90
16,65536,56.74
16,131072,104.70
16,262144,201.38
16,524288,394.06
16,1048576,774.89
18,2,2.29
18,4,2.27
18,8,2.32
18,16,2.35
18,32,2.51
18,64,2.56
18,128,3.15
18,256,3.15
18,512,3.32
18,1024,3.84
18,2048,4.70
18,4096,6.48
18,8192,9.41
18,16384,22.96
18,32768,35.27
18,65536,63.52
18,131072,115.04
18,262144,215.78
18,524288,422.15
18,1048576,831.00
20,2,2.44
20,4,2.44
20,8,2.38
20,16,2.56
20,32,2.74
20,64,2.65
20,128,3.45
20,256,3.55
20,512,3.67
20,1024,4.20
20,2048,5.02
20,4096,7.13
20,8192,10.46
20,16384,24.58
20,32768,38.13
20,65536,68.90
20,131072,124.88
20,262144,238.85
20,524288,460.69
20,1048576,875.00
22,2,2.26
22,4,2.27
22,8,2.52
22,16,2.36
22,32,2.63
22,64,2.62
22,128,3.29
22,256,3.50
22,512,3.59
22,1024,4.38
22,2048,5.43
22,4096,7.57
22,8192,11.19
22,16384,25.51
22,32768,39.38
22,65536,66.20
22,131072,123.04
22,262144,234.84
22,524288,467.79
22,1048576,882.54
24,2,2.26
24,4,2.22
24,8,2.62
24,16,2.25
24,32,2.70
24,64,2.67
24,128,3.51
24,256,3.68
24,512,3.83
24,1024,4.56
24,2048,5.82
24,4096,8.09
24,8192,11.99
24,16384,26.78
24,32768,42.00
24,65536,70.58
24,131072,133.14
24,262144,255.40
24,524288,509.50
24,1048576,941.00
26,2,2.11
26,4,2.53
26,8,2.16
26,16,2.14
26,32,2.58
26,64,2.56
26,128,3.24
26,256,3.36
26,512,3.58
26,1024,4.36
26,2048,5.53
26,4096,8.05
26,8192,12.05
26,16384,27.48
26,32768,42.61
26,65536,74.14
26,131072,136.96
26,262144,264.55
26,524288,541.04
26,1048576,962.28
28,2,2.08
28,4,2.64
28,8,2.07
28,16,2.17
28,32,2.53
28,64,2.58
28,128,3.29
28,256,3.43
28,512,3.71
28,1024,4.53
28,2048,5.84
28,4096,8.47
28,8192,12.89
28,16384,29.38
28,32768,45.56
28,65536,77.66
28,131072,141.74
28,262144,273.93
28,524288,542.21
28,1048576,1039.58
30,2,2.15
30,4,2.35
30,8,2.12
30,16,2.11
30,32,2.58
30,64,2.59
30,128,3.43
30,256,3.59
30,512,3.86
30,1024,4.71
30,2048,6.05
30,4096,8.83
30,8192,13.40
30,16384,30.47
30,32768,46.57
30,65536,78.94
30,131072,148.04
30,262144,277.40
30,524288,527.79
30,1048576,1050.80
32,2,2.50
32,4,3.06
32,8,2.55
32,16,2.69
32,32,2.79
32,64,2.94
32,128,3.92
32,256,4.13
32,512,4.46
32,1024,5.19
32,2048,6.68
32,4096,9.96
32,8192,14.35
32,16384,29.86
32,32768,45.77
32,65536,76.49
32,131072,146.29
32,262144,270.56
32,524288,509.00
32,1048576,1002.79
34,2,5.52
34,4,4.52
34,8,4.59
34,16,4.50
34,32,4.94
34,64,4.93
34,128,5.91
34,256,6.12
34,512,6.41
34,1024,7.21
34,2048,8.65
34,4096,11.71
34,8192,16.75
34,16384,33.50
34,32768,49.53
34,65536,81.19
34,131072,147.65
34,262144,264.28
34,524288,537.96
34,1048576,1032.71
36,2,5.46
36,4,4.73
36,8,4.67
36,16,4.68
36,32,5.06
36,64,5.08
36,128,6.14
36,256,6.37
36,512,6.74
36,1024,7.80
36,2048,9.28
36,4096,12.59
36,8192,17.97
36,16384,35.47
36,32768,53.04
36,65536,86.91
36,131072,154.35
36,262144,295.59
36,524288,582.93
36,1048576,1145.93
38,2,4.90
38,4,4.29
38,8,4.30
38,16,4.20
38,32,4.49
38,64,4.67
38,128,5.67
38,256,5.89
38,512,6.32
38,1024,7.24
38,2048,8.85
38,4096,12.23
38,8192,17.50
38,16384,36.84
38,32768,53.70
38,65536,89.04
38,131072,158.03
38,262144,305.39
38,524288,600.79
38,1048576,1077.50
40,2,5.65
40,4,4.39
40,8,4.32
40,16,4.32
40,32,4.67
40,64,4.85
40,128,5.88
40,256,6.20
40,512,6.48
40,1024,7.60
40,2048,9.34
40,4096,13.10
40,8192,18.93
40,16384,38.83
40,32768,56.43
40,65536,93.55
40,131072,164.74
40,262144,314.41
40,524288,621.87
40,1048576,1148.40
42,2,5.20
42,4,4.21
42,8,4.14
42,16,4.23
42,32,4.56
42,64,4.75
42,128,6.15
42,256,6.35
42,512,6.68
42,1024,7.90
42,2048,9.59
42,4096,13.49
42,8192,19.57
42,16384,39.21
42,32768,57.40
42,65536,93.90
42,131072,164.11
42,262144,315.67
42,524288,590.51
42,1048576,1177.62
44,2,4.15
44,4,3.59
44,8,3.52
44,16,3.59
44,32,4.12
44,64,4.15
44,128,5.58
44,256,5.83
44,512,6.13
44,1024,7.44
44,2048,9.30
44,4096,13.31
44,8192,19.87
44,16384,40.16
44,32768,58.37
44,65536,94.16
44,131072,164.74
44,262144,318.41
44,524288,607.28
44,1048576,1160.21
46,2,4.14
46,4,3.83
46,8,3.82
46,16,3.81
46,32,4.28
46,64,4.25
