Processes,Size,Latency
2,2,0.18
2,4,0.19
2,8,0.18
2,16,0.18
2,32,0.24
2,64,0.25
2,128,0.31
2,256,0.31
2,512,0.35
2,1024,0.42
2,2048,0.53
2,4096,0.82
2,8192,1.34
2,16384,2.96
2,32768,5.08
2,65536,6.76
2,131072,10.16
2,262144,15.61
2,524288,29.10
2,1048576,64.88
4,2,0.19
4,4,0.19
4,8,0.20
4,16,0.18
4,32,0.26
4,64,0.26
4,128,0.42
4,256,0.47
4,512,0.50
4,1024,0.70
4,2048,1.03
4,4096,1.63
4,8192,2.53
4,16384,5.80
4,32768,8.97
4,65536,15.16
4,131072,26.57
4,262144,53.48
4,524288,109.69
4,1048576,218.37
6,2,0.30
6,4,0.30
6,8,0.32
6,16,0.30
6,32,0.45
6,64,0.40
6,128,0.66
6,256,0.72
6,512,0.74
6,1024,1.08
6,2048,1.48
6,4096,2.35
6,8192,3.62
6,16384,6.58
6,32768,11.17
6,65536,21.48
6,131072,42.58
6,262144,84.97
6,524288,174.82
6,1048576,339.85
8,2,0.62
8,4,0.65
8,8,0.67
8,16,0.63
8,32,0.79
8,64,0.79
8,128,1.29
8,256,1.32
8,512,1.37
8,1024,1.69
8,2048,2.35
8,4096,3.33
8,8192,5.00
8,16384,8.37
8,32768,15.01
8,65536,29.03
8,131072,58.33
8,262144,112.82
8,524288,231.31
8,1048576,390.07
10,2,0.87
10,4,0.85
10,8,0.84
10,16,0.86
10,32,1.03
10,64,0.97
10,128,1.51
10,256,1.60
10,512,1.60
10,1024,2.17
10,2048,2.76
10,4096,4.06
10,8192,5.95
10,16384,9.96
10,32768,17.88
10,65536,36.40
10,131072,70.35
10,262144,140.16
10,524288,277.90
10,1048576,544.36
12,2,0.89
12,4,0.95
12,8,0.96
12,16,0.84
12,32,1.16
12,64,1.02
12,128,1.76
12,256,1.81
12,512,1.81
12,1024,2.48
12,2048,3.26
12,4096,4.74
12,8192,6.91
12,16384,11.32
12,32768,21.57
12,65536,41.73
12,131072,81.59
12,262144,135.78
12,524288,333.89
12,1048576,645.35
14,2,0.95
14,4,0.94
14,8,0.94
14,16,0.93
14,32,1.17
14,64,1.20
14,128,2.14
14,256,2.16
14,512,2.14
14,1024,3.09
14,2048,3.89
14,4096,5.71
14,8192,8.85
14,16384,15.24
14,32768,28.82
14,65536,59.22
14,131072,120.76
14,262144,207.08
14,524288,446.60
14,1048576,855.80
16,2,1.49
16,4,1.56
16,8,1.56
16,16,1.47
16,32,1.83
16,64,1.75
16,128,3.27
16,256,3.38
16,512,3.50
16,1024,4.52
16,2048,5.65
16,4096,7.60
16,8192,11.21
16,16384,16.68
16,32768,35.15
16,65536,72.52
16,131072,145.25
16,262144,289.95
16,524288,529.69
16,1048576,1042.91
18,2,2.22
18,4,2.25
18,8,2.26
18,16,2.46
18,32,2.63
18,64,2.46
18,128,3.82
18,256,3.89
18,512,4.05
18,1024,5.52
18,2048,6.56
18,4096,9.12
18,8192,13.74
18,16384,20.16
18,32768,41.17
18,65536,81.93
18,131072,165.45
18,262144,328.46
18,524288,675.01
18,1048576,1139.76
20,2,2.35
20,4,2.29
20,8,2.31
20,16,2.48
20,32,2.80
20,64,2.72
20,128,4.62
20,256,4.74
20,512,4.87
20,1024,6.54
20,2048,7.80
20,4096,10.88
20,8192,15.55
20,16384,21.51
20,32768,43.56
20,65536,90.86
20,131072,180.51
20,262144,367.96
20,524288,754.49
20,1048576,1476.08
22,2,2.41
22,4,2.40
22,8,2.46
22,16,2.44
22,32,2.96
22,64,2.71
22,128,5.18
22,256,5.30
22,512,5.46
22,1024,7.36
22,2048,8.92
22,4096,12.43
22,8192,17.98
22,16384,22.70
22,32768,47.88
22,65536,102.01
22,131072,205.79
22,262144,420.84
22,524288,745.71
22,1048576,1515.36
24,2,2.59
24,4,2.64
24,8,2.87
24,16,2.59
24,32,3.08
24,64,2.97
24,128,5.84
24,256,6.03
24,512,6.36
24,1024,8.54
24,2048,10.18
24,4096,14.17
24,8192,20.53
24,16384,25.34
24,32768,52.26
24,65536,112.12
24,131072,212.60
24,262144,403.18
24,524288,884.79
24,1048576,1577.18
26,2,2.36
26,4,2.44
26,8,2.29
26,16,2.34
26,32,2.96
26,64,2.71
26,128,5.89
26,256,6.17
26,512,6.29
26,1024,8.89
26,2048,10.69
26,4096,15.15
26,8192,22.15
26,16384,24.28
26,32768,52.41
26,65536,103.79
26,131072,210.58
26,262144,421.31
26,524288,865.32
26,1048576,1725.14
28,2,2.38
28,4,2.67
28,8,2.37
28,16,2.35
28,32,3.01
