Processes,Size,Latency
1,2,
1,4,
1,8,
1,16,
1,32,
1,64,
1,128,
1,256,
1,512,
1,1024,
1,2048,
1,4096,
1,8192,
1,16384,
1,32768,
1,65536,
1,131072,
1,262144,
1,524288,
1,1048576,
2,2,0.15
2,4,0.15
2,8,0.15
2,16,0.16
2,32,0.15
2,64,0.16
2,128,0.22
2,256,0.21
2,512,0.26
2,1024,0.30
2,2048,0.31
2,4096,0.40
2,8192,0.58
2,16384,3.69
2,32768,4.33
2,65536,5.94
2,131072,11.21
2,262144,28.86
2,524288,50.32
2,1048576,94.48
4,2,0.15
4,4,0.15
4,8,0.15
4,16,0.15
4,32,0.16
4,64,0.15
4,128,0.30
4,256,0.28
4,512,0.34
4,1024,0.35
4,2048,0.48
4,4096,0.68
4,8192,1.07
4,16384,4.09
4,32768,5.01
4,65536,7.89
4,131072,16.34
4,262144,34.53
4,524288,74.61
4,1048576,154.73
8,2,0.85
8,4,0.83
8,8,0.83
8,16,0.84
8,32,0.88
8,64,0.89
8,128,1.29
8,256,1.32
8,512,1.54
8,1024,1.80
8,2048,2.03
8,4096,2.77
8,8192,3.91
8,16384,7.94
8,32768,12.38
8,65536,25.08
8,131072,50.75
8,262144,99.60
8,524288,218.30
8,1048576,439.16
16,2,1.13
16,4,1.17
16,8,1.13
16,16,1.14
16,32,1.37
16,64,1.30
16,128,1.89
16,256,1.96
16,512,2.12
16,1024,2.24
16,2048,3.06
16,4096,4.12
16,8192,5.84
16,16384,15.92
16,32768,24.04
16,65536,43.49
16,131072,85.91
16,262144,168.59
16,524288,352.56
16,1048576,770.60
32,2,1.93
32,4,2.15
32,8,2.23
32,16,1.95
32,32,2.20
32,64,2.06
32,128,2.80
32,256,2.89
32,512,3.28
32,1024,3.26
32,2048,4.45
32,4096,6.00
32,8192,9.28
32,16384,25.04
32,32768,36.59
32,65536,66.61
32,131072,129.57
32,262144,275.80
32,524288,595.66
32,1048576,1034.40
64,2,3.61
64,4,3.44
64,8,3.39
64,16,3.43
64,32,4.06
64,64,3.98
64,128,4.75
64,256,4.86
64,512,5.35
64,1024,5.80
64,2048,7.30
64,4096,9.37
64,8192,14.12
64,16384,43.40
64,32768,66.12
64,65536,114.10
64,131072,221.47
64,262144,452.38
64,524288,926.00
64,1048576,1842.42
128,2,7.52
128,4,7.44
128,8,7.81
128,16,7.63
128,32,7.78
128,64,7.85
128,128,9.27
128,256,9.45
128,512,11.07
128,1024,11.13
128,2048,14.49
128,4096,18.38
128,8192,27.35
128,16384,85.59
128,32768,129.52
128,65536,221.02
128,131072,414.38
128,262144,838.52
128,524288,1704.82
128,1048576,3374.83
256,2,7.77
256,4,7.62
256,8,8.48
256,16,7.25
256,32,8.02
256,64,7.85
256,128,10.81
256,256,11.23
256,512,13.14
256,1024,14.95
256,2048,19.84
256,4096,27.60
256,8192,42.98
256,16384,144.54
256,32768,219.46
256,65536,373.52
256,131072,694.72
256,262144,1389.45
256,524288,2810.86
256,1048576,5652.07
