Processes,Size,Latency
2,2,0.21
2,4,0.21
2,8,0.21
2,16,0.21
2,32,0.23
2,64,0.26
2,128,0.32
2,256,0.34
2,512,0.36
2,1024,0.44
2,2048,0.57
2,4096,0.85
2,8192,1.35
2,16384,3.09
2,32768,5.22
2,65536,6.90
2,131072,9.87
2,262144,15.03
2,524288,28.23
2,1048576,60.34
4,2,0.46
4,4,0.46
4,8,0.46
4,16,0.44
4,32,0.52
4,64,0.52
4,128,0.72
4,256,0.79
4,512,0.83
4,1024,1.04
4,2048,1.44
4,4096,2.35
4,8192,3.57
4,16384,9.97
4,32768,16.61
4,65536,24.64
4,131072,38.82
4,262144,65.53
4,524288,119.07
4,1048576,242.05
6,2,0.81
6,4,0.80
6,8,0.76
6,16,0.81
6,32,0.93
6,64,1.00
6,128,1.23
6,256,1.32
6,512,1.43
6,1024,1.85
6,2048,2.38
6,4096,3.82
6,8192,5.80
6,16384,15.14
6,32768,21.78
6,65536,33.61
6,131072,58.68
6,262144,107.87
6,524288,209.50
6,1048576,417.07
8,2,1.26
8,4,1.27
8,8,1.25
8,16,1.28
8,32,1.45
8,64,1.54
8,128,2.37
8,256,2.23
8,512,2.26
8,1024,2.68
8,2048,3.43
8,4096,5.24
8,8192,8.28
8,16384,21.63
8,32768,29.35
8,65536,45.15
8,131072,79.31
8,262144,147.53
8,524288,280.46
8,1048576,557.48
10,2,1.65
10,4,1.63
10,8,1.65
10,16,1.63
10,32,2.06
10,64,2.05
10,128,2.56
10,256,2.65
10,512,2.81
10,1024,3.35
10,2048,4.48
10,4096,6.77
10,8192,10.67
10,16384,25.62
10,32768,36.33
10,65536,58.61
10,131072,99.38
10,262144,183.60
10,524288,350.66
10,1048576,695.20
12,2,1.88
12,4,1.89
12,8,1.93
12,16,2.01
12,32,2.48
12,64,2.30
12,128,3.03
12,256,3.13
12,512,3.33
12,1024,4.01
12,2048,5.29
12,4096,8.05
12,8192,12.24
12,16384,30.36
12,32768,44.14
12,65536,69.38
12,131072,122.66
12,262144,225.15
12,524288,435.58
12,1048576,875.43
14,2,2.08
14,4,2.13
14,8,2.52
14,16,2.10
14,32,2.59
14,64,2.57
14,128,3.42
14,256,3.58
14,512,3.85
14,1024,4.72
14,2048,6.18
14,4096,9.50
14,8192,14.84
14,16384,37.46
14,32768,53.87
14,65536,85.17
14,131072,150.14
14,262144,278.22
14,524288,532.76
14,1048576,1068.70
16,2,3.10
16,4,3.12
16,8,3.08
16,16,3.09
16,32,3.66
16,64,3.66
16,128,4.68
16,256,4.76
16,512,5.21
16,1024,5.95
16,2048,7.68
16,4096,11.59
16,8192,17.63
16,16384,44.04
16,32768,62.54
16,65536,100.01
16,131072,172.91
16,262144,329.59
16,524288,622.90
16,1048576,1246.96
18,2,3.90
18,4,3.91
18,8,3.89
18,16,3.95
18,32,4.52
18,64,4.56
18,128,5.70
18,256,5.88
18,512,6.31
18,1024,7.21
18,2048,9.30
18,4096,13.69
18,8192,21.31
18,16384,49.87
18,32768,71.06
18,65536,111.60
18,131072,196.69
18,262144,362.92
18,524288,689.94
18,1048576,1419.34
20,2,4.57
20,4,4.48
20,8,4.38
20,16,4.43
20,32,5.27
20,64,5.16
20,128,6.57
20,256,6.66
20,512,7.18
20,1024,8.20
20,2048,10.39
20,4096,15.40
20,8192,23.65
20,16384,55.31
20,32768,78.22
20,65536,124.17
20,131072,216.01
20,262144,399.65
20,524288,760.11
20,1048576,1521.72
22,2,5.78
22,4,4.79
22,8,4.82
22,16,4.79
22,32,5.67
22,64,5.62
22,128,7.11
22,256,7.32
22,512,7.83
22,1024,9.10
22,2048,11.53
22,4096,16.79
22,8192,25.80
22,16384,60.11
22,32768,86.45
22,65536,135.76
22,131072,237.68
22,262144,435.31
22,524288,826.76
22,1048576,1663.33
24,2,6.54
24,4,5.36
24,8,5.42
24,16,5.40
24,32,6.41
24,64,6.39
24,128,8.04
24,256,8.26
24,512,8.70
24,1024,10.15
24,2048,12.79
24,4096,18.85
24,8192,28.41
24,16384,65.59
24,32768,92.97
24,65536,147.24
24,131072,258.34
24,262144,470.73
24,524288,921.66
24,1048576,1804.80
26,2,5.44
26,4,5.30
26,8,5.21
26,16,5.25
26,32,6.55
26,64,6.54
26,128,8.20
26,256,8.33
26,512,8.92
26,1024,10.53
26,2048,13.53
26,4096,20.05
26,8192,30.23
26,16384,71.00
26,32768,99.90
26,65536,157.32
26,131072,276.64
26,262144,504.89
26,524288,963.97
26,1048576,1949.49
28,2,5.81
28,4,5.77
28,8,5.69
28,16,5.75
28,32,7.02
28,64,7.01
28,128,8.73
28,256,8.99
28,512,9.56
28,1024,11.44
28,2048,14.88
28,4096,21.52
28,8192,32.28
28,16384,76.06
28,32768,107.82
28,65536,169.94
28,131072,295.91
28,262144,538.51
28,524288,1074.92
28,1048576,2064.53
30,2,6.22
30,4,6.23
30,8,6.17
30,16,6.71
30,32,7.67
30,64,8.11
30,128,9.33
30,256,9.73
30,512,10.35
30,1024,12.25
30,2048,15.79
30,4096,22.88
30,8192,35.15
30,16384,81.46
30,32768,116.05
30,65536,184.58
30,131072,318.17
30,262144,577.31
30,524288,1097.52
30,1048576,2211.72
32,2,7.15
32,4,7.28
32,8,7.17
32,16,7.27
32,32,8.49
32,64,8.41
32,128,11.16
32,256,11.28
32,512,11.95
32,1024,13.89
32,2048,17.59
32,4096,25.18
32,8192,38.31
32,16384,87.49
32,32768,124.58
32,65536,197.14
32,131072,343.19
32,262144,622.07
32,524288,1183.61
32,1048576,2476.32
34,2,8.53
34,4,8.48
34,8,8.64
34,16,8.38
34,32,9.60
34,64,9.60
34,128,11.81
34,256,12.30
34,512,13.02
34,1024,15.11
34,2048,18.90
34,4096,27.48
34,8192,40.42
34,16384,92.69
34,32768,130.80
34,65536,206.45
34,131072,361.51
34,262144,656.54
34,524288,1248.05
34,1048576,2507.94
36,2,8.41
36,4,8.23
36,8,8.34
36,16,8.26
36,32,9.44
36,64,9.36
36,128,11.90
36,256,12.62
36,512,13.16
36,1024,15.71
36,2048,19.43
36,4096,28.12
36,8192,43.09
36,16384,96.87
36,32768,137.54
36,65536,217.75
36,131072,379.61
36,262144,693.50
36,524288,1321.17
36,1048576,2639.87
38,2,8.18
38,4,8.09
38,8,8.14
38,16,8.05
38,32,9.55
38,64,9.45
38,128,12.48
38,256,12.92
38,512,13.96
38,1024,16.30
38,2048,20.40
38,4096,29.75
38,8192,45.52
38,16384,102.79
38,32768,145.43
38,65536,230.20
38,131072,401.16
38,262144,733.10
38,524288,1398.31
38,1048576,2813.32
40,2,8.39
40,4,8.43
40,8,8.42
40,16,8.58
40,32,9.86
40,64,9.77
40,128,13.01
40,256,13.55
40,512,14.66
40,1024,17.36
40,2048,21.41
40,4096,31.49
40,8192,47.04
40,16384,107.96
40,32768,152.79
40,65536,241.92
40,131072,421.56
40,262144,771.03
40,524288,1470.93
40,1048576,2973.93
42,2,8.93
42,4,8.73
42,8,8.86
42,16,8.73
42,32,10.68
42,64,10.18
42,128,13.70
42,256,
42,512,
42,1024,
42,2048,
42,4096,
42,8192,
42,16384,
42,32768,
42,65536,
42,131072,
42,262144,
42,524288,
42,1048576,
44,2,
44,4,
44,8,
44,16,
44,32,
44,64,
44,128,
44,256,
44,512,
44,1024,
44,2048,
44,4096,
44,8192,
44,16384,
44,32768,
44,65536,
44,131072,
44,262144,
44,524288,
44,1048576,
46,2,
46,4,
46,8,
46,16,
46,32,
46,64,
46,128,
46,256,
46,512,
46,1024,
46,2048,
46,4096,
46,8192,
46,16384,
46,32768,
46,65536,
46,131072,
46,262144,
46,524288,
46,1048576,
48,2,
48,4,
48,8,
48,16,
48,32,
48,64,
48,128,
48,256,
48,512,
48,1024,
48,2048,
48,4096,
48,8192,
48,16384,
48,32768,
48,65536,
48,131072,
48,262144,
48,524288,
48,1048576,
