Processes,Size,Latency
2,2,0.55
2,4,0.56
2,8,0.52
2,16,0.53
2,32,0.52
2,64,0.69
2,128,0.68
2,256,1.28
2,512,1.32
2,1024,1.55
2,2048,1.67
2,4096,2.45
2,8192,3.79
2,16384,6.16
2,32768,11.57
2,65536,21.77
2,131072,41.17
2,262144,83.31
2,524288,34.50
2,1048576,66.71
4,2,0.94
4,4,0.95
4,8,0.96
4,16,0.95
4,32,0.95
4,64,1.38
4,128,1.34
4,256,2.08
4,512,2.09
4,1024,2.31
4,2048,2.76
4,4096,4.11
4,8192,5.56
4,16384,8.66
4,32768,15.40
4,65536,28.99
4,131072,55.65
4,262144,112.65
4,524288,168.60
4,1048576,320.94
6,2,1.31
6,4,1.34
6,8,1.29
6,16,1.32
6,32,1.31
6,64,1.71
6,128,1.65
6,256,2.51
6,512,2.61
6,1024,2.95
6,2048,3.51
6,4096,4.95
6,8192,6.70
6,16384,10.27
6,32768,18.28
6,65536,34.20
6,131072,63.37
6,262144,122.77
6,524288,268.72
6,1048576,547.48
8,2,1.31
8,4,1.32
8,8,1.34
8,16,1.32
8,32,1.33
8,64,1.81
8,128,1.82
8,256,2.71
8,512,2.82
8,1024,3.22
8,2048,3.72
8,4096,5.22
8,8192,7.25
8,16384,11.22
8,32768,19.30
8,65536,36.03
8,131072,66.28
8,262144,130.31
8,524288,330.61
8,1048576,588.79
10,2,1.87
10,4,1.84
10,8,1.87
10,16,1.82
10,32,1.84
10,64,2.18
10,128,2.12
10,256,3.07
10,512,3.24
10,1024,3.68
10,2048,4.52
10,4096,6.06
10,8192,8.11
10,16384,12.40
10,32768,20.69
10,65536,39.22
10,131072,71.63
10,262144,142.53
10,524288,396.84
10,1048576,684.85
12,2,1.74
12,4,1.77
12,8,1.69
12,16,1.85
12,32,1.78
12,64,2.19
12,128,2.10
12,256,3.18
12,512,3.34
12,1024,3.72
12,2048,4.60
12,4096,6.16
12,8192,8.43
12,16384,12.94
12,32768,22.34
12,65536,41.47
12,131072,77.65
12,262144,150.04
12,524288,432.55
