Processes,Size,Latency
2,2,0.36
2,4,0.35
2,8,0.36
2,16,0.35
2,32,0.57
2,64,0.55
2,128,0.78
2,256,0.74
2,512,0.86
2,1024,1.01
2,2048,1.32
2,4096,2.01
2,8192,3.30
2,16384,3.69
2,32768,5.81
2,65536,7.30
2,131072,10.26
2,262144,15.85
2,524288,28.86
2,1048576,61.53
4,2,0.33
4,4,0.34
4,8,0.35
4,16,0.35
4,32,0.61
4,64,0.57
4,128,1.02
4,256,1.12
4,512,1.29
4,1024,1.57
4,2048,2.36
4,4096,3.74
4,8192,5.72
4,16384,9.06
4,32768,13.92
4,65536,21.64
4,131072,37.42
4,262144,70.35
4,524288,152.56
4,1048576,307.93
6,2,0.62
6,4,0.62
6,8,0.63
6,16,0.62
6,32,0.68
6,64,0.70
6,128,1.56
6,256,1.70
6,512,1.88
6,1024,2.32
6,2048,3.35
6,4096,5.07
6,8192,7.80
6,16384,10.70
6,32768,18.66
6,65536,34.74
6,131072,60.49
6,262144,146.63
6,524288,280.93
6,1048576,438.81
8,2,1.14
8,4,1.16
8,8,1.15
8,16,1.19
8,32,1.30
8,64,1.32
8,128,2.66
8,256,2.59
8,512,2.75
8,1024,3.43
8,2048,4.62
8,4096,6.77
8,8192,10.44
8,16384,13.87
8,32768,22.59
8,65536,44.99
8,131072,93.22
8,262144,190.28
8,524288,365.75
8,1048576,619.75
10,2,1.46
10,4,1.38
10,8,1.42
10,16,1.40
10,32,1.70
10,64,1.66
10,128,2.99
10,256,3.06
10,512,3.27
10,1024,4.71
10,2048,5.78
10,4096,7.98
10,8192,12.02
10,16384,16.57
10,32768,28.89
10,65536,58.28
10,131072,114.01
10,262144,233.42
10,524288,383.31
10,1048576,770.83
12,2,1.39
12,4,1.43
12,8,1.41
12,16,1.50
12,32,1.81
12,64,1.61
12,128,3.21
12,256,3.38
12,512,3.66
12,1024,5.08
12,2048,6.46
12,4096,9.25
12,8192,13.57
12,16384,18.82
12,32768,31.69
12,65536,64.72
12,131072,133.01
12,262144,274.12
12,524288,501.45
12,1048576,800.18
14,2,1.50
14,4,1.44
14,8,1.47
14,16,1.57
14,32,1.73
14,64,1.65
14,128,3.55
14,256,3.72
14,512,4.05
14,1024,5.88
14,2048,6.99
14,4096,9.95
14,8192,15.20
14,16384,21.60
14,32768,37.84
14,65536,77.12
14,131072,151.38
14,262144,303.09
14,524288,606.05
14,1048576,1031.87
16,2,1.80
16,4,1.78
16,8,1.85
16,16,1.91
16,32,2.05
16,64,1.94
16,128,4.34
16,256,4.38
16,512,4.63
16,1024,6.52
16,2048,8.07
16,4096,11.33
16,8192,17.72
16,16384,23.50
16,32768,42.18
16,65536,82.20
16,131072,181.00
16,262144,340.99
16,524288,569.77
16,1048576,1287.88
18,2,2.04
18,4,2.09
18,8,2.06
18,16,2.23
18,32,2.31
18,64,2.20
18,128,4.79
18,256,4.86
18,512,5.27
18,1024,7.55
18,2048,9.19
18,4096,12.68
18,8192,19.18
18,16384,26.72
18,32768,45.84
18,65536,95.31
18,131072,196.37
18,262144,375.90
18,524288,802.38
18,1048576,1271.59
20,2,2.19
20,4,2.14
20,8,2.34
20,16,2.22
20,32,2.39
20,64,2.28
20,128,5.00
20,256,5.17
20,512,5.65
20,1024,8.01
20,2048,9.84
20,4096,13.88
20,8192,20.96
20,16384,28.38
20,32768,52.66
20,65536,105.26
20,131072,212.36
20,262144,432.13
20,524288,814.55
20,1048576,1543.52
22,2,2.23
22,4,2.29
22,8,2.49
22,16,2.29
22,32,2.45
22,64,2.40
22,128,5.38
22,256,5.70
22,512,5.96
22,1024,8.61
22,2048,10.50
22,4096,14.63
22,8192,22.73
22,16384,31.86
22,32768,56.46
22,65536,113.38
22,131072,238.76
22,262144,457.63
22,524288,938.42
22,1048576,1437.49
24,2,2.52
24,4,2.40
24,8,2.80
24,16,2.41
24,32,2.69
24,64,2.62
24,128,5.84
24,256,6.05
24,512,6.51
24,1024,9.19
24,2048,11.34
24,4096,15.91
24,8192,24.28
24,16384,33.85
24,32768,60.88
24,65536,122.34
24,131072,254.92
24,262144,504.39
24,524288,980.16
24,1048576,1866.68
26,2,2.22
26,4,2.41
26,8,2.19
26,16,2.21
26,32,2.54
26,64,2.44
26,128,5.98
26,256,6.26
26,512,6.62
26,1024,9.51
26,2048,12.03
26,4096,16.76
26,8192,25.81
26,16384,32.78
26,32768,57.18
26,65536,103.82
26,131072,235.39
26,262144,486.47
26,524288,892.92
26,1048576,1633.37
28,2,2.28
28,4,2.36
28,8,2.24
28,16,2.27
28,32,2.47
28,64,2.47
28,128,6.16
28,256,6.46
28,512,6.81
28,1024,9.97
28,2048,12.74
28,4096,17.88
28,8192,27.67
