Processes,Size,Latency
2,2,0.37
2,4,0.40
2,8,0.39
2,16,0.39
2,32,0.54
2,64,0.50
2,128,0.81
2,256,0.82
2,512,0.89
2,1024,1.00
2,2048,1.35
2,4096,1.99
2,8192,3.45
2,16384,6.25
2,32768,11.74
2,65536,22.47
2,131072,42.43
2,262144,20.37
2,524288,55.27
2,1048576,128.80
4,2,1.14
4,4,1.14
4,8,1.19
4,16,1.16
4,32,1.53
4,64,1.47
4,128,2.43
4,256,2.35
4,512,2.71
4,1024,3.00
4,2048,4.39
4,4096,5.96
4,8192,9.26
4,16384,15.50
4,32768,28.17
4,65536,51.70
4,131072,96.72
4,262144,164.02
4,524288,311.62
4,1048576,633.73
6,2,1.77
6,4,1.79
6,8,1.79
6,16,1.82
6,32,2.59
6,64,2.35
6,128,3.71
6,256,3.87
6,512,4.35
6,1024,4.80
6,2048,6.84
6,4096,9.09
6,8192,14.54
6,16384,23.55
6,32768,41.66
6,65536,77.89
6,131072,143.62
6,262144,283.20
6,524288,574.59
6,1048576,1126.01
8,2,2.23
8,4,2.24
8,8,2.30
8,16,2.54
8,32,3.44
8,64,3.12
8,128,4.84
8,256,5.01
8,512,5.61
8,1024,6.31
8,2048,9.01
8,4096,12.29
8,8192,19.63
8,16384,31.20
8,32768,55.61
8,65536,102.40
8,131072,193.55
8,262144,396.86
8,524288,775.87
8,1048576,1527.23
10,2,2.98
10,4,3.00
10,8,3.27
10,16,3.07
10,32,4.28
10,64,4.06
10,128,6.34
10,256,6.47
10,512,7.29
10,1024,8.55
10,2048,11.66
10,4096,15.58
10,8192,24.58
10,16384,39.35
10,32768,69.66
10,65536,126.00
10,131072,236.47
10,262144,502.41
10,524288,974.32
10,1048576,1920.96
12,2,3.25
12,4,3.18
12,8,3.22
12,16,3.25
12,32,5.56
12,64,4.45
12,128,7.17
12,256,7.54
12,512,8.47
12,1024,10.14
12,2048,13.66
12,4096,18.44
12,8192,29.30
12,16384,46.33
12,32768,82.82
12,65536,151.57
12,131072,280.82
12,262144,598.60
12,524288,1167.18
12,1048576,2325.45
14,2,3.70
14,4,4.37
14,8,3.78
14,16,3.72
14,32,6.32
14,64,5.30
14,128,8.57
14,256,8.82
14,512,10.06
14,1024,11.95
14,2048,16.11
14,4096,21.90
14,8192,33.95
14,16384,53.88
14,32768,95.48
14,65536,174.76
14,131072,326.62
14,262144,707.97
14,524288,1356.86
14,1048576,2679.55
16,2,4.57
16,4,4.73
16,8,4.57
16,16,4.49
16,32,7.26
16,64,6.22
16,128,10.25
16,256,10.61
16,512,11.84
16,1024,13.35
16,2048,18.14
16,4096,24.98
16,8192,38.74
16,16384,61.69
16,32768,110.76
16,65536,198.26
16,131072,371.07
16,262144,806.35
16,524288,1550.30
16,1048576,3103.49
18,2,6.51
18,4,5.44
18,8,5.39
18,16,5.37
18,32,8.43
18,64,7.38
18,128,11.86
18,256,12.39
18,512,13.50
18,1024,15.78
18,2048,21.02
18,4096,28.23
18,8192,44.30
18,16384,69.43
18,32768,124.69
18,65536,222.30
18,131072,445.97
18,262144,908.53
18,524288,1780.07
18,1048576,3460.68
20,2,7.00
20,4,5.63
20,8,5.67
20,16,5.61
20,32,9.27
20,64,7.77
20,128,12.73
20,256,13.32
20,512,14.55
20,1024,17.34
20,2048,23.02
20,4096,31.03
20,8192,48.80
20,16384,76.74
20,32768,136.15
20,65536,246.02
20,131072,505.17
20,262144,1007.22
20,524288,1948.68
20,1048576,3853.84
22,2,6.28
22,4,6.21
22,8,6.25
22,16,6.24
22,32,10.71
22,64,8.53
22,128,14.48
22,256,14.80
22,512,16.19
22,1024,19.20
22,2048,25.38
22,4096,34.71
22,8192,54.09
22,16384,83.83
22,32768,149.43
22,65536,270.35
22,131072,561.92
22,262144,1102.29
22,524288,2129.74
22,1048576,4240.25
24,2,6.90
24,4,6.66
24,8,6.70
24,16,6.67
24,32,11.56
24,64,9.40
24,128,15.54
24,256,16.10
24,512,17.87
24,1024,21.30
24,2048,27.71
24,4096,37.38
24,8192,58.39
24,16384,92.04
24,32768,162.31
24,65536,295.97
24,131072,630.30
24,262144,1194.04
24,524288,2391.97
24,1048576,4872.25
26,2,8.92
26,4,8.78
26,8,8.86
26,16,8.78
26,32,14.06
26,64,11.91
26,128,18.46
26,256,19.71
26,512,21.24
26,1024,24.31
26,2048,32.26
26,4096,42.91
26,8192,65.11
26,16384,100.05
26,32768,175.02
26,65536,312.86
26,131072,681.37
26,262144,1235.92
26,524288,2461.60
26,1048576,4916.02
28,2,8.86
28,4,8.79
28,8,9.00
28,16,8.79
28,32,14.90
28,64,11.97
28,128,19.34
28,256,20.37
28,512,21.74
28,1024,25.45
28,2048,33.23
28,4096,45.62
28,8192,69.53
28,16384,107.23
28,32768,186.83
28,65536,336.53
28,131072,742.78
28,262144,1343.62
28,524288,2669.61
