Processes,Size,Latency
2,2,0.21
2,4,0.22
2,8,0.22
2,16,0.21
2,32,0.25
2,64,0.26
2,128,0.31
2,256,0.34
2,512,0.37
2,1024,0.44
2,2048,0.57
2,4096,0.90
2,8192,1.40
2,16384,2.51
2,32768,4.52
2,65536,8.37
2,131072,15.62
2,262144,19.60
2,524288,52.06
2,1048576,124.92
4,2,0.39
4,4,0.38
4,8,0.38
4,16,0.38
4,32,0.41
4,64,0.40
4,128,0.47
4,256,0.49
4,512,0.54
4,1024,0.59
4,2048,0.76
4,4096,1.14
4,8192,2.05
4,16384,3.64
4,32768,6.50
4,65536,11.39
4,131072,21.30
4,262144,75.27
4,524288,169.00
4,1048576,382.57
6,2,0.50
6,4,0.51
6,8,0.49
6,16,0.53
6,32,0.51
6,64,0.55
6,128,0.62
6,256,0.65
6,512,0.67
6,1024,0.74
6,2048,1.07
6,4096,1.54
6,8192,2.47
6,16384,4.31
6,32768,7.73
6,65536,14.04
6,131072,26.37
6,262144,98.86
6,524288,230.40
6,1048576,500.87
8,2,0.46
8,4,0.48
8,8,0.49
8,16,0.45
8,32,0.49
8,64,0.48
8,128,0.62
8,256,0.63
8,512,0.67
8,1024,0.81
8,2048,1.19
8,4096,1.72
8,8192,2.83
8,16384,4.93
8,32768,8.48
8,65536,15.36
8,131072,29.41
8,262144,107.09
8,524288,234.40
8,1048576,516.87
10,2,0.42
10,4,0.48
10,8,0.45
10,16,0.42
10,32,0.49
10,64,0.49
10,128,0.65
10,256,0.66
10,512,0.73
10,1024,0.87
10,2048,1.29
10,4096,2.07
10,8192,3.27
10,16384,5.57
10,32768,9.79
10,65536,17.83
10,131072,33.35
10,262144,108.61
10,524288,230.98
10,1048576,520.97
12,2,0.55
12,4,0.56
12,8,0.56
12,16,0.59
12,32,0.61
12,64,0.64
12,128,0.82
12,256,1.15
12,512,0.95
12,1024,1.14
12,2048,1.62
12,4096,2.45
12,8192,3.83
12,16384,6.52
12,32768,11.11
12,65536,19.79
12,131072,37.13
12,262144,118.37
12,524288,251.69
12,1048576,610.12
14,2,0.88
14,4,0.87
14,8,0.89
14,16,0.86
14,32,1.04
14,64,1.08
14,128,1.24
14,256,1.32
14,512,1.40
14,1024,1.67
14,2048,2.21
14,4096,3.14
14,8192,4.89
14,16384,8.02
14,32768,13.83
14,65536,24.49
14,131072,45.27
14,262144,132.39
14,524288,279.30
14,1048576,665.39
16,2,0.95
16,4,0.97
16,8,0.94
16,16,0.95
16,32,1.13
16,64,1.45
16,128,1.45
16,256,1.48
16,512,1.61
16,1024,1.83
16,2048,2.51
16,4096,3.65
16,8192,5.70
16,16384,9.32
16,32768,16.30
16,65536,29.45
16,131072,54.29
16,262144,144.49
16,524288,306.27
16,1048576,743.28
18,2,1.08
18,4,1.10
18,8,1.09
18,16,1.10
18,32,1.24
18,64,1.23
18,128,1.57
18,256,1.61
18,512,1.70
18,1024,1.97
18,2048,2.67
18,4096,3.85
18,8192,6.01
18,16384,9.94
18,32768,17.20
18,65536,30.84
18,131072,56.72
18,262144,159.97
18,524288,344.01
18,1048576,774.02
20,2,1.09
20,4,1.08
20,8,1.12
20,16,1.52
20,32,1.30
20,64,1.30
20,128,1.61
20,256,1.65
20,512,1.80
20,1024,2.08
20,2048,2.84
20,4096,4.05
20,8192,6.46
20,16384,10.58
20,32768,17.87
20,65536,32.03
20,131072,59.29
20,262144,168.85
20,524288,356.80
20,1048576,824.29
22,2,1.34
22,4,1.34
22,8,1.64
22,16,1.38
22,32,1.58
22,64,1.60
22,128,1.91
22,256,1.99
22,512,2.09
22,1024,2.38
22,2048,3.24
22,4096,4.51
22,8192,6.94
22,16384,11.34
22,32768,19.26
22,65536,34.50
22,131072,61.99
22,262144,176.22
22,524288,367.56
22,1048576,861.65
24,2,1.57
24,4,1.59
24,8,2.29
24,16,1.52
24,32,1.92
24,64,1.92
24,128,2.23
24,256,2.32
24,512,2.51
24,1024,2.90
24,2048,3.85
24,4096,5.38
24,8192,8.47
24,16384,13.33
24,32768,22.55
24,65536,39.83
24,131072,73.46
24,262144,190.28
24,524288,394.74
24,1048576,953.76
26,2,1.63
26,4,1.90
26,8,1.63
26,16,1.63
26,32,1.95
26,64,2.03
26,128,2.31
26,256,2.41
26,512,2.67
26,1024,3.07
26,2048,4.14
26,4096,5.82
26,8192,9.10
26,16384,14.39
26,32768,24.55
26,65536,42.30
26,131072,77.20
26,262144,211.46
26,524288,446.48
26,1048576,1003.15
28,2,1.49
28,4,1.70
28,8,1.49
28,16,1.48
28,32,1.86
28,64,1.88
28,128,2.25
28,256,2.31
28,512,2.49
28,1024,2.98
28,2048,4.04
28,4096,5.79
28,8192,9.20
28,16384,14.77
28,32768,25.10
28,65536,44.33
28,131072,79.91
28,262144,223.85
28,524288,472.77
28,1048576,1066.37
30,2,1.86
30,4,2.76
30,8,1.85
30,16,1.85
30,32,2.25
30,64,2.31
30,128,2.66
30,256,2.73
30,512,2.92
30,1024,3.43
30,2048,4.45
30,4096,6.27
30,8192,9.69
30,16384,15.48
30,32768,26.16
30,65536,45.98
30,131072,83.50
30,262144,234.27
30,524288,489.25
30,1048576,1082.05
32,2,2.16
32,4,2.46
32,8,2.16
32,16,2.16
32,32,2.43
32,64,2.52
32,128,2.88
32,256,3.12
32,512,3.28
32,1024,3.80
32,2048,4.98
32,4096,7.11
32,8192,10.86
32,16384,16.93
32,32768,28.21
32,65536,48.28
32,131072,88.66
32,262144,242.61
32,524288,510.85
32,1048576,1132.90
34,2,1.93
34,4,2.64
34,8,1.96
34,16,1.97
34,32,2.27
34,64,2.30
34,128,2.77
34,256,2.89
34,512,3.12
34,1024,3.60
34,2048,4.84
34,4096,7.15
34,8192,10.90
34,16384,17.35
34,32768,29.28
34,65536,50.01
34,131072,91.60
34,262144,248.53
34,524288,526.91
34,1048576,1193.02
36,2,1.80
36,4,2.80
36,8,1.84
36,16,1.83
36,32,2.15
36,64,2.20
36,128,2.69
36,256,2.79
36,512,3.02
36,1024,3.55
36,2048,4.90
36,4096,7.12
36,8192,11.23
36,16384,17.97
36,32768,30.09
36,65536,51.74
36,131072,94.79
36,262144,262.26
36,524288,556.28
36,1048576,1256.27
38,2,1.82
38,4,2.59
38,8,1.83
38,16,1.80
38,32,2.22
38,64,2.25
38,128,2.79
38,256,2.91
