Processes,Size,Latency
2,2,0.36
2,4,0.35
2,8,0.38
2,16,0.37
2,32,0.45
2,64,0.45
2,128,0.79
2,256,0.75
2,512,0.82
2,1024,0.94
2,2048,1.28
2,4096,2.01
2,8192,3.61
2,16384,6.28
2,32768,11.81
2,65536,21.97
2,131072,42.61
2,262144,21.40
2,524288,53.41
2,1048576,127.94
4,2,0.47
4,4,0.48
4,8,0.45
4,16,0.45
4,32,0.52
4,64,0.52
4,128,0.84
4,256,0.84
4,512,0.89
4,1024,1.18
4,2048,1.38
4,4096,2.29
4,8192,3.36
4,16384,6.47
4,32768,12.25
4,65536,23.42
4,131072,42.79
4,262144,64.85
4,524288,145.22
4,1048576,320.92
6,2,0.62
6,4,0.61
6,8,0.67
6,16,0.58
6,32,0.64
6,64,0.66
6,128,0.85
6,256,1.00
6,512,0.98
6,1024,1.05
6,2048,1.33
6,4096,2.28
6,8192,3.57
6,16384,6.76
6,32768,12.62
6,65536,23.76
6,131072,45.02
6,262144,102.84
6,524288,237.17
6,1048576,567.33
8,2,0.62
8,4,0.61
8,8,0.59
8,16,0.65
8,32,0.67
8,64,0.62
8,128,0.91
8,256,1.02
8,512,1.04
8,1024,1.17
8,2048,1.43
8,4096,2.43
8,8192,3.60
8,16384,6.95
8,32768,13.24
8,65536,24.54
8,131072,46.67
8,262144,143.14
8,524288,321.35
8,1048576,784.66
10,2,0.53
10,4,0.52
10,8,0.54
10,16,0.50
10,32,0.57
10,64,0.56
10,128,0.81
10,256,0.82
10,512,0.84
10,1024,0.98
10,2048,1.30
10,4096,2.22
10,8192,3.49
10,16384,6.97
10,32768,13.53
10,65536,25.39
10,131072,51.02
10,262144,171.59
10,524288,402.07
10,1048576,993.35
12,2,0.69
12,4,0.65
12,8,0.75
12,16,0.68
12,32,0.76
12,64,0.81
12,128,1.05
12,256,1.04
12,512,1.11
12,1024,1.19
12,2048,1.46
12,4096,2.61
12,8192,3.81
12,16384,7.62
12,32768,14.43
12,65536,27.09
12,131072,56.73
12,262144,207.32
12,524288,497.41
12,1048576,1252.59
14,2,0.98
14,4,0.96
14,8,0.96
14,16,0.92
14,32,1.01
14,64,0.99
14,128,1.32
14,256,1.26
14,512,1.30
14,1024,1.43
14,2048,1.68
14,4096,2.81
14,8192,4.16
14,16384,8.07
14,32768,15.29
14,65536,30.69
14,131072,63.26
14,262144,236.60
14,524288,555.17
14,1048576,1446.85
16,2,1.12
16,4,1.14
16,8,1.16
16,16,1.19
16,32,1.13
16,64,1.29
16,128,1.51
16,256,1.54
16,512,1.64
16,1024,1.73
16,2048,1.93
16,4096,3.00
16,8192,4.52
16,16384,8.55
16,32768,16.36
16,65536,33.08
16,131072,70.38
16,262144,272.37
16,524288,676.20
16,1048576,1697.24
18,2,1.08
18,4,1.11
18,8,1.14
18,16,1.13
18,32,1.09
18,64,1.08
18,128,1.48
18,256,1.47
18,512,1.56
18,1024,1.62
18,2048,1.87
18,4096,2.98
18,8192,4.43
18,16384,8.72
18,32768,17.02
18,65536,37.23
18,131072,77.74
18,262144,303.98
18,524288,779.07
18,1048576,2035.70
20,2,1.32
20,4,1.30
20,8,1.40
20,16,1.26
20,32,1.31
20,64,1.36
20,128,1.57
20,256,1.66
20,512,1.66
20,1024,1.80
20,2048,2.09
20,4096,3.13
20,8192,4.75
20,16384,9.13
20,32768,18.23
20,65536,40.46
20,131072,87.19
20,262144,340.46
20,524288,856.44
20,1048576,2278.58
22,2,1.39
22,4,1.42
22,8,1.50
22,16,1.47
22,32,1.53
22,64,1.38
22,128,1.72
22,256,1.85
22,512,1.86
22,1024,1.92
22,2048,2.26
22,4096,3.34
22,8192,4.85
22,16384,9.81
22,32768,19.39
22,65536,43.20
22,131072,91.32
22,262144,375.70
22,524288,923.81
22,1048576,2594.17
24,2,1.55
24,4,1.78
24,8,1.62
24,16,1.58
24,32,1.70
24,64,1.59
24,128,1.91
24,256,1.88
24,512,1.95
24,1024,2.18
24,2048,2.43
24,4096,3.48
24,8192,5.06
24,16384,10.11
24,32768,20.70
24,65536,46.55
24,131072,95.69
24,262144,415.18
24,524288,1060.21
24,1048576,2915.02
26,2,1.41
26,4,1.39
26,8,1.33
26,16,1.30
26,32,1.42
26,64,1.33
26,128,1.66
26,256,1.62
26,512,1.67
26,1024,1.80
26,2048,2.06
26,4096,3.14
26,8192,4.57
26,16384,9.09
26,32768,19.67
26,65536,43.72
26,131072,89.23
26,262144,481.06
26,524288,1143.53
26,1048576,3079.54
28,2,1.25
28,4,1.31
28,8,1.17
28,16,1.17
28,32,1.25
28,64,1.19
28,128,1.53
28,256,1.51
28,512,1.48
28,1024,1.59
28,2048,2.01
28,4096,2.83
28,8192,4.19
