Processes,Size,Latency
2,2,0.23
2,4,0.21
2,8,0.21
2,16,0.21
2,32,0.26
2,64,0.26
2,128,0.32
2,256,0.34
2,512,0.38
2,1024,0.45
2,2048,0.57
2,4096,0.85
2,8192,1.41
2,16384,2.53
2,32768,4.50
2,65536,8.36
2,131072,15.07
2,262144,20.02
2,524288,51.86
2,1048576,124.66
4,2,0.65
4,4,0.64
4,8,0.62
4,16,0.69
4,32,0.72
4,64,0.74
4,128,1.01
4,256,1.02
4,512,1.19
4,1024,1.34
4,2048,2.05
4,4096,2.71
4,8192,4.25
4,16384,6.88
4,32768,11.80
4,65536,20.41
4,131072,38.83
4,262144,91.52
4,524288,187.13
4,1048576,361.51
6,2,1.02
6,4,1.07
6,8,0.98
6,16,1.00
6,32,1.15
6,64,1.20
6,128,1.58
6,256,1.63
6,512,2.12
6,1024,2.13
6,2048,2.86
6,4096,4.19
6,8192,6.67
6,16384,10.77
6,32768,18.20
6,65536,31.76
6,131072,58.56
6,262144,154.18
6,524288,313.58
6,1048576,622.21
8,2,1.32
8,4,1.34
8,8,1.33
8,16,1.28
8,32,1.55
8,64,1.63
8,128,2.50
8,256,2.29
8,512,2.42
8,1024,2.89
8,2048,3.92
8,4096,5.66
8,8192,9.17
8,16384,14.60
8,32768,24.45
8,65536,42.75
8,131072,78.44
8,262144,209.83
8,524288,425.26
8,1048576,852.97
10,2,1.58
10,4,1.61
10,8,1.62
10,16,1.60
10,32,1.95
10,64,2.28
10,128,2.67
10,256,2.88
10,512,3.02
10,1024,3.59
10,2048,4.95
10,4096,7.34
10,8192,11.59
10,16384,18.51
10,32768,30.83
10,65536,53.37
10,131072,96.36
10,262144,267.75
10,524288,546.14
10,1048576,1139.15
12,2,1.87
12,4,1.84
12,8,1.85
12,16,1.83
12,32,2.35
12,64,2.41
12,128,3.05
12,256,3.22
12,512,3.57
12,1024,4.33
12,2048,5.87
12,4096,8.70
12,8192,13.83
12,16384,22.15
12,32768,37.17
12,65536,64.25
12,131072,117.81
12,262144,319.75
12,524288,659.63
12,1048576,1479.97
14,2,2.96
14,4,3.14
14,8,3.75
14,16,2.96
14,32,4.10
14,64,3.96
14,128,4.78
14,256,4.99
14,512,5.59
14,1024,6.39
14,2048,8.71
14,4096,12.09
14,8192,19.11
14,16384,29.96
14,32768,50.40
14,65536,87.72
14,131072,160.97
14,262144,446.24
14,524288,869.84
14,1048576,1890.59
16,2,3.50
16,4,3.45
16,8,3.45
16,16,3.45
16,32,4.85
16,64,4.51
16,128,5.71
16,256,5.85
16,512,6.39
16,1024,7.74
16,2048,10.05
16,4096,13.78
16,8192,21.69
16,16384,33.88
16,32768,55.97
16,65536,95.75
16,131072,178.58
16,262144,481.11
16,524288,959.28
16,1048576,2034.26
18,2,4.30
18,4,5.21
18,8,4.30
18,16,4.22
18,32,5.81
18,64,5.47
18,128,6.54
18,256,6.90
18,512,7.33
18,1024,8.76
18,2048,11.22
18,4096,15.40
18,8192,24.39
18,16384,37.39
18,32768,62.07
18,65536,104.89
18,131072,194.13
18,262144,537.31
18,524288,1064.41
18,1048576,2259.22
20,2,4.90
20,4,4.61
20,8,4.62
20,16,4.64
20,32,6.32
20,64,6.18
20,128,7.26
20,256,7.54
20,512,8.09
20,1024,9.69
20,2048,12.34
20,4096,16.93
20,8192,26.70
20,16384,41.09
20,32768,67.81
20,65536,116.35
20,131072,210.92
20,262144,584.80
20,524288,1152.36
20,1048576,2451.67
22,2,5.91
22,4,5.18
22,8,5.10
22,16,5.10
22,32,6.99
22,64,6.82
22,128,7.88
22,256,8.08
22,512,8.84
22,1024,10.40
22,2048,13.34
22,4096,18.51
22,8192,29.27
22,16384,45.05
22,32768,73.90
22,65536,125.09
22,131072,230.04
22,262144,641.95
22,524288,1257.23
22,1048576,2686.07
24,2,6.85
24,4,5.77
24,8,5.81
24,16,5.73
24,32,8.00
24,64,7.65
24,128,8.61
24,256,9.07
24,512,9.74
24,1024,11.41
24,2048,14.52
24,4096,20.21
24,8192,31.61
24,16384,48.49
24,32768,79.95
24,65536,134.97
24,131072,247.40
24,262144,699.62
24,524288,1358.29
24,1048576,3090.24
26,2,27.24
26,4,6.52
26,8,6.60
26,16,6.73
26,32,8.88
26,64,8.80
26,128,10.35
26,256,10.51
26,512,11.21
26,1024,13.05
26,2048,16.95
26,4096,23.66
26,8192,36.45
26,16384,55.72
26,32768,89.54
26,65536,149.22
26,131072,273.66
26,262144,749.69
26,524288,1447.63
26,1048576,3259.23
28,2,6.48
28,4,6.49
28,8,6.57
28,16,6.45
28,32,8.57
28,64,8.64
28,128,10.13
28,256,10.47
28,512,11.37
28,1024,13.33
28,2048,17.51
28,4096,24.62
28,8192,38.85
28,16384,58.57
28,32768,94.90
28,65536,159.05
28,131072,290.66
28,262144,803.70
28,524288,1562.83
28,1048576,3427.72
30,2,6.61
30,4,6.45
30,8,6.46
30,16,6.48
30,32,8.86
30,64,8.81
30,128,10.19
30,256,10.79
30,512,11.61
30,1024,14.05
30,2048,18.17
30,4096,25.65
30,8192,40.76
30,16384,61.75
30,32768,101.58
30,65536,167.97
30,131072,307.21
30,262144,862.51
30,524288,1684.50
30,1048576,3659.18
32,2,8.11
32,4,8.00
32,8,7.92
32,16,7.89
32,32,9.71
32,64,10.26
32,128,11.93
32,256,12.41
32,512,13.21
32,1024,16.08
32,2048,19.87
32,4096,27.80
32,8192,42.83
32,16384,66.32
32,32768,107.39
32,65536,179.02
32,131072,325.38
32,262144,907.33
32,524288,1782.35
32,1048576,3852.10
34,2,8.07
34,4,8.05
34,8,8.04
34,16,7.97
34,32,9.67
34,64,10.29
34,128,12.11
34,256,12.67
34,512,13.69
34,1024,15.86
34,2048,20.27
34,4096,29.07
34,8192,44.78
34,16384,69.43
34,32768,112.85
34,65536,189.34
34,131072,344.50
34,262144,960.57
34,524288,1900.55
34,1048576,4111.97
36,2,7.97
36,4,8.01
36,8,8.03
36,16,8.10
36,32,9.66
36,64,10.14
36,128,11.98
36,256,12.87
36,512,14.07
36,1024,16.26
36,2048,20.78
36,4096,30.03
36,8192,46.88
36,16384,72.41
36,32768,118.84
36,65536,198.62
36,131072,400.75
36,262144,1020.86
36,524288,2012.32
