2,2,0.43
2,4,0.41
2,8,0.40
2,16,0.42
2,32,0.50
2,64,0.52
2,128,0.85
2,256,0.83
2,512,0.91
2,1024,0.96
2,2048,1.34
2,4096,1.99
2,8192,3.62
2,16384,6.29
2,32768,11.60
2,65536,22.52
2,131072,43.53
2,262144,20.79
2,524288,54.16
2,1048576,125.91
4,2,0.70
4,4,0.74
4,8,0.72
4,16,0.72
4,32,0.79
4,64,0.78
4,128,1.02
4,256,1.14
4,512,1.19
4,1024,1.28
4,2048,1.73
4,4096,2.45
4,8192,3.62
4,16384,6.26
4,32768,10.92
4,65536,18.98
4,131072,37.77
4,262144,86.41
4,524288,174.46
4,1048576,361.06
6,2,0.74
6,4,0.75
6,8,0.72
6,16,0.72
6,32,0.82
6,64,0.84
6,128,1.11
6,256,1.12
6,512,1.12
6,1024,1.28
6,2048,1.70
6,4096,2.48
6,8192,3.68
6,16384,6.40
6,32768,11.18
6,65536,20.54
6,131072,36.02
6,262144,105.53
6,524288,217.86
6,1048576,457.65
8,2,0.64
8,4,0.65
8,8,0.64
8,16,0.64
8,32,0.74
8,64,0.76
8,128,1.13
8,256,1.07
8,512,1.09
8,1024,1.23
8,2048,1.63
8,4096,2.45
8,8192,3.79
8,16384,6.44
8,32768,11.13
8,65536,19.49
8,131072,36.87
8,262144,101.65
8,524288,201.17
8,1048576,425.72
10,2,0.72
10,4,0.71
10,8,0.72
10,16,0.72
10,32,0.82
10,64,0.91
10,128,1.03
10,256,1.06
10,512,1.16
10,1024,1.36
10,2048,1.75
10,4096,2.67
10,8192,4.07
10,16384,6.87
10,32768,11.94
10,65536,21.44
10,131072,38.66
10,262144,100.80
10,524288,221.28
10,1048576,458.53
12,2,0.64
12,4,0.65
12,8,0.64
12,16,0.65
12,32,0.76
12,64,0.80
12,128,1.00
12,256,1.03
12,512,1.13
12,1024,1.29
12,2048,1.72
12,4096,2.56
12,8192,3.98
12,16384,6.94
12,32768,11.67
12,65536,20.80
12,131072,38.78
12,262144,105.69
12,524288,225.68
12,1048576,466.70
14,2,0.57
14,4,0.58
14,8,0.60
14,16,0.58
14,32,0.67
14,64,0.81
14,128,0.88
14,256,0.89
14,512,0.96
14,1024,1.15
14,2048,1.54
14,4096,2.42
14,8192,3.80
14,16384,6.71
14,32768,11.61
14,65536,20.34
14,131072,37.17
14,262144,110.86
14,524288,244.83
14,1048576,517.16
16,2,0.64
16,4,0.64
16,8,0.65
16,16,0.65
16,32,0.75
16,64,0.86
16,128,0.98
16,256,1.00
16,512,1.09
16,1024,1.25
16,2048,1.68
16,4096,2.55
16,8192,4.05
16,16384,6.89
16,32768,11.86
16,65536,20.88
16,131072,38.64
16,262144,115.91
16,524288,243.15
16,1048576,517.88
18,2,0.69
18,4,0.69
18,8,0.70
18,16,0.69
18,32,0.92
18,64,0.82
18,128,1.07
18,256,1.08
18,512,1.18
18,1024,1.37
18,2048,1.85
18,4096,2.69
18,8192,4.32
18,16384,6.99
18,32768,12.29
18,65536,21.76
18,131072,40.77
18,262144,113.30
18,524288,229.50
18,1048576,516.45
20,2,0.70
20,4,0.70
20,8,0.70
20,16,0.81
20,32,0.84
20,64,0.80
20,128,1.08
20,256,1.13
20,512,1.20
20,1024,1.40
20,2048,1.88
20,4096,2.79
20,8192,4.34
20,16384,7.32
20,32768,12.54
20,65536,22.47
20,131072,41.13
20,262144,112.63
20,524288,230.17
20,1048576,526.82
22,2,0.71
22,4,0.68
22,8,0.68
22,16,0.69
22,32,0.87
22,64,0.84
22,128,1.04
22,256,1.07
22,512,1.19
22,1024,1.40
22,2048,1.90
22,4096,2.86
22,8192,4.50
22,16384,7.50
22,32768,12.80
22,65536,22.39
22,131072,41.61
22,262144,119.20
22,524288,240.48
22,1048576,563.40
24,2,0.69
24,4,0.69
24,8,0.73
24,16,0.83
24,32,0.81
24,64,0.80
24,128,1.05
24,256,1.09
24,512,1.16
24,1024,1.39
24,2048,1.88
24,4096,2.81
24,8192,4.40
24,16384,7.50
24,32768,12.76
24,65536,22.35
24,131072,41.33
24,262144,123.81
24,524288,254.41
24,1048576,602.52
26,2,1.05
26,4,1.12
26,8,1.05
26,16,1.03
26,32,1.11
26,64,1.16
26,128,1.34
26,256,1.43
26,512,1.50
26,1024,1.70
26,2048,2.28
26,4096,3.24
26,8192,4.83
26,16384,7.43
26,32768,12.76
26,65536,21.93
26,131072,41.02
26,262144,116.54
26,524288,243.86
26,1048576,587.36
28,2,1.15
28,4,1.36
28,8,1.12
28,16,1.11
28,32,1.22
28,64,1.26
28,128,1.41
28,256,1.49
28,512,1.58
28,1024,1.82
28,2048,2.48
28,4096,3.54
28,8192,5.34
28,16384,8.35
28,32768,13.80
28,65536,25.01
28,131072,46.55
28,262144,132.67
28,524288,270.70
28,1048576,602.91
30,2,1.04
30,4,1.12
30,8,1.05
30,16,1.03
30,32,1.10
30,64,1.19
30,128,1.35
30,256,1.44
30,512,1.56
30,1024,1.86
30,2048,2.56
30,4096,3.86
30,8192,5.79
30,16384,9.40
30,32768,16.25
30,65536,29.67
30,131072,56.06
30,262144,162.23
30,524288,328.16
30,1048576,737.85
32,2,1.54
32,4,1.78
32,8,1.54
32,16,1.52
32,32,1.62
32,64,1.82
32,128,2.04
32,256,2.16
32,512,2.14
32,1024,2.56
32,2048,3.49
32,4096,5.04
32,8192,7.63
32,16384,11.91
32,32768,20.66
32,65536,38.02
32,131072,72.84
32,262144,210.01
32,524288,429.63
32,1048576,872.93
34,2,1.70
34,4,1.68
34,8,1.53
34,16,1.53
34,32,1.73
34,64,2.06
34,128,1.95
34,256,2.27
34,512,2.24
34,1024,2.72
34,2048,3.92
34,4096,5.71
