Processes,Size,Latency
34,32,1.74
34,64,1.96
34,128,2.00
34,256,2.26
34,512,2.26
34,1024,2.71
34,2048,3.86
34,4096,5.78
34,8192,8.61
34,16384,13.91
34,32768,24.60
34,65536,46.01
34,131072,88.82
34,262144,245.71
34,524288,487.88
34,1048576,1106.62
36,2,1.57
36,4,1.53
36,8,1.52
36,16,1.52
36,32,1.72
36,64,1.86
36,128,1.95
36,256,2.30
36,512,2.40
36,1024,2.85
36,2048,4.15
36,4096,6.28
36,8192,10.32
36,16384,15.90
36,32768,28.87
36,65536,54.26
36,131072,104.61
36,262144,307.75
36,524288,617.80
36,1048576,1357.25
38,2,1.69
38,4,1.65
38,8,1.53
38,16,1.52
38,32,1.72
38,64,1.89
38,128,1.97
38,256,2.23
38,512,2.39
38,1024,3.02
38,2048,4.44
38,4096,7.11
38,8192,11.23
38,16384,17.83
38,32768,32.79
38,65536,62.25
38,131072,120.86
38,262144,382.86
38,524288,763.42
38,1048576,1623.90
40,2,1.60
40,4,1.56
40,8,1.54
40,16,1.51
40,32,1.72
40,64,1.82
40,128,1.99
40,256,2.33
40,512,2.37
40,1024,3.15
40,2048,4.64
40,4096,7.42
40,8192,12.19
40,16384,19.92
40,32768,36.88
40,65536,70.23
40,131072,136.98
40,262144,451.45
40,524288,896.18
40,1048576,1865.47
42,2,1.77
42,4,1.50
42,8,1.50
42,16,1.50
42,32,1.63
42,64,1.86
42,128,1.87
42,256,2.18
42,512,2.28
42,1024,2.98
42,2048,4.31
42,4096,6.93
42,8192,11.80
42,16384,18.79
42,32768,35.11
42,65536,66.33
42,131072,129.84
42,262144,425.77
42,524288,844.88
42,1048576,1759.31
44,2,1.65
44,4,1.42
44,8,1.41
44,16,1.41
44,32,1.54
44,64,1.78
44,128,1.73
44,256,2.01
44,512,2.15
44,1024,2.73
44,2048,3.87
44,4096,6.30
44,8192,11.16
44,16384,17.61
44,32768,33.37
44,65536,62.80
44,131072,125.10
44,262144,402.80
44,524288,796.57
44,1048576,1655.33
46,2,1.60
46,4,1.32
46,8,1.30
46,16,1.30
46,32,1.44
46,64,1.57
46,128,1.63
46,256,1.95
46,512,2.04
46,1024,2.63
46,2048,3.62
46,4096,5.89
46,8192,10.18
46,16384,16.37
46,32768,30.98
46,65536,59.08
46,131072,116.04
46,262144,379.85
46,524288,746.25
46,1048576,1551.28
48,2,1.40
