Processes,Size,Latency
34,8,1.02
34,16,1.00
34,32,1.10
34,64,1.14
34,128,1.28
34,256,1.34
34,512,1.43
34,1024,1.52
34,2048,1.84
34,4096,2.62
34,8192,3.74
34,16384,8.13
34,32768,15.91
34,65536,32.32
34,131072,67.38
34,262144,654.25
34,524288,1399.50
34,1048576,3509.86
36,2,0.83
36,4,0.92
36,8,0.91
36,16,0.84
36,32,0.87
36,64,0.88
36,128,1.06
36,256,1.11
36,512,1.15
36,1024,1.27
36,2048,1.58
36,4096,2.40
36,8192,3.57
36,16384,7.52
36,32768,15.54
36,65536,32.65
36,131072,66.93
36,262144,692.05
36,524288,1468.13
36,1048576,3664.36
38,2,0.69
38,4,0.75
38,8,0.68
38,16,0.64
38,32,0.69
38,64,0.71
38,128,0.91
38,256,0.92
38,512,0.94
38,1024,1.08
38,2048,1.35
38,4096,2.13
38,8192,3.40
38,16384,7.19
38,32768,15.23
38,65536,31.48
38,131072,65.57
38,262144,735.63
38,524288,1551.71
38,1048576,3813.86
40,2,0.55
40,4,0.55
40,8,0.54
40,16,0.54
40,32,0.56
40,64,0.58
40,128,0.72
40,256,0.78
40,512,0.84
40,1024,0.92
40,2048,1.17
40,4096,1.99
40,8192,3.19
40,16384,6.65
40,32768,14.71
40,65536,30.57
40,131072,63.64
40,262144,776.55
40,524288,1615.99
