Processes,Size,Latency
2,2,0.40
2,4,0.39
2,8,0.40
2,16,0.39
2,32,0.47
2,64,0.47
2,128,0.79
2,256,0.82
2,512,0.85
2,1024,1.04
2,2048,1.39
2,4096,2.04
2,8192,3.46
2,16384,6.30
2,32768,11.78
2,65536,22.09
2,131072,43.07
2,262144,20.41
2,524288,54.44
2,1048576,130.28
4,2,0.48
4,4,0.47
4,8,0.46
4,16,0.49
4,32,0.57
4,64,0.51
4,128,0.80
4,256,0.82
4,512,0.92
4,1024,1.02
4,2048,1.37
4,4096,2.27
4,8192,3.58
4,16384,6.46
4,32768,11.80
4,65536,22.38
4,131072,40.30
4,262144,81.20
4,524288,177.20
4,1048576,393.98
6,2,0.63
6,4,0.64
6,8,0.61
6,16,0.62
6,32,0.68
6,64,0.66
6,128,1.18
6,256,1.08
6,512,1.16
6,1024,1.32
6,2048,1.85
6,4096,2.95
6,8192,4.74
6,16384,8.61
6,32768,16.11
6,65536,30.60
6,131072,55.63
6,262144,137.03
6,524288,308.55
6,1048576,684.46
8,2,0.66
8,4,0.63
8,8,0.63
8,16,0.63
8,32,0.84
8,64,0.76
8,128,1.32
8,256,1.23
8,512,1.40
8,1024,1.64
8,2048,2.41
8,4096,3.68
8,8192,5.93
8,16384,10.62
8,32768,19.83
8,65536,37.48
8,131072,68.96
8,262144,182.22
8,524288,393.30
8,1048576,764.88
10,2,0.67
10,4,0.65
10,8,0.65
10,16,0.66
10,32,0.88
10,64,0.93
10,128,1.31
10,256,1.38
10,512,1.57
10,1024,1.88
10,2048,2.76
10,4096,4.09
10,8192,6.56
10,16384,11.30
10,32768,20.89
10,65536,37.84
10,131072,72.35
10,262144,157.60
10,524288,323.43
10,1048576,684.88
12,2,0.88
12,4,0.87
12,8,0.86
12,16,0.87
12,32,1.38
12,64,1.09
12,128,1.76
12,256,1.81
12,512,2.08
12,1024,2.43
12,2048,3.48
12,4096,5.00
12,8192,7.75
12,16384,13.37
12,32768,24.41
12,65536,45.68
12,131072,85.41
12,262144,188.54
12,524288,363.29
12,1048576,778.76
14,2,0.99
14,4,0.97
14,8,0.96
14,16,0.99
14,32,1.40
14,64,1.21
14,128,2.01
14,256,2.08
14,512,2.38
14,1024,2.86
14,2048,4.12
14,4096,5.82
14,8192,9.14
14,16384,15.41
14,32768,28.38
14,65536,53.52
14,131072,99.42
14,262144,217.24
14,524288,436.96
14,1048576,890.91
16,2,1.19
16,4,1.17
16,8,1.18
16,16,1.17
16,32,1.65
16,64,1.54
16,128,2.34
16,256,2.42
16,512,2.77
16,1024,3.19
16,2048,4.63
16,4096,6.54
16,8192,10.40
16,16384,17.58
16,32768,32.66
16,65536,60.02
16,131072,111.72
16,262144,256.45
16,524288,499.69
16,1048576,1027.21
18,2,1.18
18,4,1.19
18,8,1.21
18,16,1.52
18,32,1.81
18,64,1.63
18,128,2.55
18,256,2.66
18,512,3.03
18,1024,3.63
18,2048,5.08
18,4096,7.24
18,8192,11.67
18,16384,19.07
18,32768,35.06
18,65536,63.18
18,131072,117.99
18,262144,256.68
18,524288,518.26
18,1048576,1084.51
20,2,1.32
20,4,1.32
20,8,1.31
20,16,1.49
20,32,1.93
20,64,1.76
20,128,2.90
20,256,2.99
20,512,3.37
20,1024,3.98
20,2048,5.67
20,4096,7.95
20,8192,12.53
20,16384,20.83
20,32768,38.01
20,65536,70.02
20,131072,130.62
20,262144,278.91
20,524288,553.71
20,1048576,1123.70
22,2,1.50
22,4,1.49
22,8,1.52
22,16,1.56
22,32,2.24
22,64,2.01
22,128,3.30
22,256,3.44
22,512,3.84
22,1024,4.55
22,2048,6.38
22,4096,8.99
22,8192,13.86
22,16384,22.97
22,32768,41.47
22,65536,76.57
22,131072,144.45
22,262144,307.87
22,524288,608.90
22,1048576,1249.83
24,2,1.65
24,4,1.65
24,8,1.93
24,16,1.64
24,32,2.48
24,64,2.21
24,128,3.65
24,256,3.71
24,512,4.26
24,1024,5.10
24,2048,7.04
24,4096,9.94
24,8192,15.19
24,16384,25.35
24,32768,45.48
24,65536,83.69
24,131072,156.34
24,262144,359.03
24,524288,685.74
24,1048576,1377.29
26,2,2.05
26,4,2.13
26,8,2.01
26,16,2.03
26,32,2.94
26,64,2.65
26,128,4.02
26,256,4.19
26,512,4.73
26,1024,5.47
26,2048,7.73
26,4096,10.46
26,8192,16.33
26,16384,26.71
26,32768,47.40
26,65536,85.82
26,131072,160.18
26,262144,344.63
26,524288,678.27
26,1048576,1419.58
28,2,1.95
28,4,1.94
28,8,1.87
28,16,1.85
28,32,2.82
28,64,2.48
28,128,3.98
28,256,4.17
28,512,4.71
28,1024,5.59
28,2048,8.04
28,4096,11.10
28,8192,17.04
28,16384,28.17
