Processes,Size,Latency
2,2,
2,4,
2,8,
2,16,
2,32,
2,64,
2,128,
2,256,
2,512,
2,1024,
2,2048,
2,4096,
2,8192,
2,16384,
2,32768,
2,65536,
2,131072,
2,262144,
2,524288,
2,1048576,
4,2,
4,4,
4,8,
4,16,
4,32,
4,64,
4,128,
4,256,
4,512,
4,1024,
4,2048,
4,4096,
4,8192,
4,16384,
4,32768,
4,65536,
4,131072,
4,262144,
4,524288,
4,1048576,
6,2,
6,4,
6,8,
6,16,
6,32,
6,64,
6,128,
6,256,
6,512,
6,1024,
6,2048,
6,4096,
6,8192,
6,16384,
6,32768,
6,65536,
6,131072,
6,262144,
6,524288,
6,1048576,
8,2,
8,4,
8,8,
8,16,
8,32,
8,64,
8,128,
8,256,
8,512,
8,1024,
8,2048,
8,4096,
8,8192,
8,16384,
8,32768,
8,65536,
8,131072,
8,262144,
8,524288,
8,1048576,
10,2,
10,4,
10,8,
10,16,
10,32,
10,64,
10,128,
10,256,
10,512,
10,1024,
10,2048,
10,4096,
10,8192,
10,16384,
10,32768,
10,65536,
10,131072,
10,262144,
10,524288,
10,1048576,
12,2,
12,4,
12,8,
12,16,
12,32,
12,64,
12,128,
12,256,
12,512,
12,1024,
12,2048,
12,4096,
12,8192,
12,16384,
12,32768,
12,65536,
12,131072,
12,262144,
12,524288,
12,1048576,
14,2,
14,4,
14,8,
14,16,
14,32,
14,64,
14,128,
14,256,
14,512,
14,1024,
14,2048,
14,4096,
14,8192,
14,16384,
14,32768,
14,65536,
14,131072,
14,262144,
14,524288,
14,1048576,
16,2,
16,4,
16,8,
16,16,
16,32,
16,64,
16,128,
16,256,
16,512,
16,1024,
16,2048,
16,4096,
16,8192,
16,16384,
16,32768,
16,65536,
16,131072,
16,262144,
16,524288,
16,1048576,
18,2,
18,4,
18,8,
18,16,
18,32,
18,64,
18,128,
18,256,
18,512,
18,1024,
18,2048,
18,4096,
18,8192,
18,16384,
18,32768,
18,65536,
18,131072,
18,262144,
18,524288,
18,1048576,
20,2,
20,4,
20,8,
20,16,
20,32,
20,64,
20,128,
20,256,
20,512,
20,1024,
20,2048,
20,4096,
20,8192,
20,16384,
20,32768,
20,65536,
20,131072,
20,262144,
20,524288,
20,1048576,
22,2,
22,4,
22,8,
22,16,
22,32,
22,64,
22,128,
22,256,
22,512,
22,1024,
22,2048,
22,4096,
22,8192,
22,16384,
22,32768,
22,65536,
22,131072,
22,262144,
22,524288,
22,1048576,
24,2,
24,4,
24,8,
24,16,
24,32,
24,64,
24,128,
24,256,
24,512,
24,1024,
24,2048,
24,4096,
24,8192,
24,16384,
24,32768,
24,65536,
24,131072,
24,262144,
24,524288,
24,1048576,
26,2,
26,4,
26,8,
26,16,
26,32,
26,64,
26,128,
26,256,
26,512,
26,1024,
26,2048,
26,4096,
26,8192,
26,16384,
26,32768,
26,65536,
26,131072,
26,262144,
26,524288,
26,1048576,
28,2,
28,4,
28,8,
28,16,
28,32,
28,64,
28,128,
28,256,
28,512,
28,1024,
28,2048,
28,4096,
28,8192,
28,16384,
28,32768,
28,65536,
28,131072,
28,262144,
28,524288,
28,1048576,
30,2,
30,4,
30,8,
30,16,
30,32,
30,64,
30,128,
30,256,
30,512,
30,1024,
30,2048,
30,4096,
30,8192,
30,16384,
30,32768,
30,65536,
30,131072,
30,262144,
30,524288,
30,1048576,
32,2,
32,4,
32,8,
32,16,
32,32,
32,64,
32,128,
32,256,
32,512,
32,1024,
32,2048,
32,4096,
32,8192,
32,16384,
32,32768,
32,65536,
32,131072,
32,262144,
32,524288,
32,1048576,
34,2,
34,4,
34,8,
34,16,
34,32,
34,64,
34,128,
34,256,
34,512,
34,1024,
34,2048,
34,4096,
34,8192,
34,16384,
34,32768,
34,65536,
34,131072,
34,262144,
34,524288,
34,1048576,
36,2,
36,4,
36,8,
36,16,
36,32,
36,64,
36,128,
36,256,
36,512,
36,1024,
36,2048,
36,4096,
36,8192,
36,16384,
36,32768,
36,65536,
36,131072,
36,262144,
36,524288,
36,1048576,
38,2,
38,4,
38,8,
38,16,
38,32,
38,64,
38,128,
38,256,
38,512,
38,1024,
38,2048,
38,4096,
38,8192,
38,16384,
38,32768,
38,65536,
38,131072,
38,262144,
38,524288,
38,1048576,
40,2,
40,4,
40,8,
40,16,
40,32,
40,64,
40,128,
40,256,
40,512,
40,1024,
40,2048,
40,4096,
40,8192,
40,16384,
40,32768,
40,65536,
40,131072,
40,262144,
40,524288,
40,1048576,
42,2,
42,4,
42,8,
42,16,
42,32,
42,64,
42,128,
42,256,
42,512,
42,1024,
42,2048,
42,4096,
42,8192,
42,16384,
42,32768,
42,65536,
42,131072,
42,262144,
42,524288,
42,1048576,
44,2,
44,4,
44,8,
44,16,
44,32,
44,64,
44,128,
44,256,
44,512,
44,1024,
44,2048,
44,4096,
44,8192,
44,16384,
44,32768,
44,65536,
44,131072,
44,262144,
44,524288,
44,1048576,
46,2,
46,4,
46,8,
46,16,
46,32,
46,64,
46,128,
46,256,
46,512,
46,1024,
46,2048,
46,4096,
46,8192,
46,16384,
46,32768,
46,65536,
46,131072,
46,262144,
46,524288,
46,1048576,
48,2,
48,4,
48,8,
48,16,
48,32,
48,64,
48,128,
48,256,
48,512,
48,1024,
48,2048,
48,4096,
48,8192,
48,16384,
48,32768,
48,65536,
48,131072,
48,262144,
48,524288,
48,1048576,
